TaskID,Region,StartHour
44145,RegionA,28
47836,RegionC,28
3689,RegionB,29
12576,RegionA,29
13274,RegionC,29
24732,RegionB,29
31183,RegionF,29
33517,RegionC,29
35147,RegionA,29
41814,RegionC,29
44031,RegionB,29
21971,RegionB,30
31796,RegionB,30
32313,RegionA,30
35084,RegionC,30
36012,RegionA,30
39221,RegionB,30
44791,RegionB,30
774,RegionA,31
15004,RegionB,31
15480,RegionA,31
18290,RegionB,31
20614,RegionC,31
35378,RegionB,31
42513,RegionA,31
16808,RegionB,32
20442,RegionB,32
25455,RegionC,32
35582,RegionB,32
36411,RegionF,32
44162,RegionB,32
1698,RegionF,33
12513,RegionC,33
14655,RegionA,33
15792,RegionB,33
34129,RegionA,33
3573,RegionC,34
7670,RegionB,34
12560,RegionC,34
12817,RegionA,34
21762,RegionC,34
30738,RegionA,34
31040,RegionA,34
32371,RegionA,34
45885,RegionA,34
8266,RegionA,35
22031,RegionC,35
36516,RegionF,35
47574,RegionC,35
13699,RegionB,36
43117,RegionA,36
43352,RegionA,36
1208,RegionA,37
14121,RegionC,37
17614,RegionB,37
45951,RegionB,37
173,RegionB,38
1420,RegionB,38
2228,RegionC,38
17208,RegionB,38
31024,RegionC,38
37204,RegionC,38
38643,RegionA,38
43368,RegionB,38
46476,RegionB,38
4744,RegionA,39
6321,RegionC,39
8349,RegionD,39
11178,RegionA,39
12339,RegionA,39
12698,RegionE,39
12727,RegionB,39
32721,RegionB,39
39991,RegionC,39
40498,RegionA,39
41942,RegionA,39
46220,RegionB,39
4546,RegionA,40
8906,RegionC,40
24133,RegionA,40
37390,RegionA,40
44014,RegionA,40
44525,RegionE,40
47696,RegionB,40
21009,RegionE,41
26768,RegionD,41
32497,RegionA,41
34411,RegionA,41
45567,RegionC,41
4299,RegionB,42
6218,RegionA,42
7145,RegionB,42
8736,RegionD,42
12445,RegionB,42
13110,RegionC,42
15951,RegionC,42
19502,RegionA,42
27354,RegionA,42
44468,RegionA,42
44553,RegionA,42
47267,RegionF,42
49650,RegionA,42
1536,RegionA,43
4830,RegionB,43
5068,RegionC,43
9757,RegionB,43
18865,RegionA,43
43613,RegionD,43
48437,RegionA,43
13689,RegionA,44
20581,RegionC,44
31318,RegionB,44
32429,RegionD,44
33338,RegionB,44
9068,RegionB,45
10926,RegionC,45
17030,RegionA,45
19953,RegionE,45
26866,RegionC,45
45697,RegionB,45
3055,RegionC,46
22964,RegionF,46
34376,RegionC,46
34494,RegionC,46
49207,RegionC,46
3476,RegionA,47
9617,RegionA,47
43410,RegionF,47
46831,RegionB,47
3574,RegionF,48
5753,RegionA,48
21515,RegionA,48
47590,RegionA,48
13496,RegionB,49
15410,RegionB,49
19204,RegionC,49
21904,RegionB,49
22824,RegionB,49
43740,RegionA,49
45343,RegionC,49
46792,RegionB,49
430,RegionC,50
7966,RegionB,50
20714,RegionF,50
1765,RegionA,51
5851,RegionA,51
26296,RegionE,51
30550,RegionB,51
39934,RegionA,51
42114,RegionB,51
45551,RegionB,51
2246,RegionB,52
3967,RegionC,52
4046,RegionE,52
6316,RegionF,52
13393,RegionC,52
23103,RegionA,52
34727,RegionA,52
40838,RegionC,52
42763,RegionA,52
42991,RegionA,52
20015,RegionB,53
28778,RegionA,53
40814,RegionA,53
42377,RegionB,53
42716,RegionA,53
46305,RegionA,53
8634,RegionB,54
23035,RegionC,54
24548,RegionB,54
34855,RegionC,54
37149,RegionB,54
44775,RegionA,54
44830,RegionB,54
5656,RegionB,55
5760,RegionA,55
16488,RegionC,55
14168,RegionA,56
21571,RegionB,56
24894,RegionA,56
25855,RegionC,56
36325,RegionC,56
37253,RegionA,56
43886,RegionB,56
45835,RegionC,56
10001,RegionC,57
11248,RegionC,57
11571,RegionA,57
29200,RegionC,57
33981,RegionB,57
21986,RegionC,58
23720,RegionA,58
48457,RegionB,58
5102,RegionD,59
18127,RegionB,59
19524,RegionB,59
25108,RegionC,59
32163,RegionB,59
678,RegionB,60
2896,RegionB,60
6946,RegionA,60
12999,RegionC,60
13293,RegionB,60
13437,RegionB,60
17795,RegionF,60
36596,RegionA,60
5931,RegionA,61
7752,RegionD,61
9902,RegionC,61
10914,RegionE,61
30968,RegionA,61
42093,RegionA,61
44880,RegionA,61
47806,RegionA,61
3377,RegionE,62
6674,RegionB,62
27164,RegionA,62
29346,RegionD,62
46756,RegionA,62
6068,RegionA,63
10873,RegionC,63
19822,RegionF,63
33745,RegionB,63
42224,RegionA,63
3477,RegionA,64
3687,RegionA,64
23894,RegionC,64
36617,RegionB,64
4445,RegionC,65
19733,RegionB,65
21491,RegionB,65
37654,RegionB,65
13556,RegionC,66
16284,RegionB,66
38132,RegionA,66
40561,RegionB,66
2616,RegionE,67
6047,RegionF,67
6270,RegionF,67
9047,RegionA,67
24048,RegionA,67
36767,RegionA,67
39652,RegionA,67
44034,RegionA,67
45114,RegionC,67
47513,RegionB,67
7118,RegionA,68
12139,RegionC,68
13675,RegionC,68
30294,RegionB,68
30859,RegionB,68
40930,RegionD,68
10944,RegionB,69
36854,RegionB,69
38152,RegionB,69
12051,RegionA,70
12906,RegionB,70
32100,RegionC,70
33597,RegionF,70
41557,RegionB,70
3980,RegionC,71
10486,RegionC,71
11981,RegionB,71
17606,RegionA,71
33311,RegionB,71
40219,RegionB,71
46079,RegionC,71
24456,RegionB,72
31349,RegionA,72
32330,RegionC,72
35125,RegionD,72
37368,RegionC,72
37629,RegionC,72
5078,RegionA,73
13372,RegionC,73
26174,RegionA,73
33376,RegionA,73
38746,RegionE,73
38907,RegionB,73
40632,RegionB,73
49831,RegionC,73
7345,RegionC,74
11647,RegionC,74
12736,RegionC,74
13937,RegionC,74
29140,RegionB,74
32211,RegionC,74
38790,RegionC,74
42964,RegionF,74
48076,RegionA,74
18273,RegionC,75
26329,RegionF,75
26787,RegionC,75
34269,RegionB,75
39052,RegionB,75
47753,RegionA,75
4162,RegionB,76
28738,RegionA,76
37151,RegionC,76
39992,RegionD,76
913,RegionA,77
1148,RegionA,77
3995,RegionA,77
4668,RegionC,77
16401,RegionB,77
18198,RegionB,77
26258,RegionA,77
33240,RegionB,77
33257,RegionA,77
34300,RegionA,77
37818,RegionB,77
41153,RegionC,77
42790,RegionB,77
46592,RegionA,77
49770,RegionB,77
3124,RegionB,78
11203,RegionA,78
14710,RegionC,78
28595,RegionB,78
35729,RegionA,78
36782,RegionB,78
43706,RegionA,78
16982,RegionA,79
17356,RegionA,79
18161,RegionC,79
30337,RegionF,79
35384,RegionB,79
47368,RegionB,79
9484,RegionE,80
10300,RegionB,80
10519,RegionC,80
12578,RegionB,80
29482,RegionC,80
35005,RegionB,80
35177,RegionC,80
42173,RegionB,80
42752,RegionC,80
43603,RegionB,80
47877,RegionF,80
4760,RegionC,81
8204,RegionC,81
8292,RegionA,81
18253,RegionC,81
21800,RegionB,81
27409,RegionB,81
35813,RegionC,81
38654,RegionD,81
44133,RegionA,81
15872,RegionC,82
23574,RegionF,82
30750,RegionE,82
31932,RegionA,82
36010,RegionC,82
349,RegionA,83
23238,RegionC,83
23944,RegionB,83
26197,RegionC,83
37366,RegionB,83
41307,RegionB,83
4380,RegionC,84
9693,RegionC,84
11218,RegionA,84
27773,RegionA,84
30800,RegionB,84
37567,RegionA,84
4896,RegionB,85
21181,RegionA,85
24511,RegionC,85
34121,RegionC,85
37008,RegionF,85
39362,RegionC,85
5142,RegionA,86
5606,RegionC,86
5772,RegionA,86
6917,RegionB,86
17362,RegionE,86
19305,RegionA,86
35260,RegionB,86
36009,RegionC,86
44690,RegionA,86
46586,RegionA,86
48913,RegionD,86
6644,RegionA,87
20249,RegionA,87
33964,RegionE,87
35002,RegionA,87
49211,RegionA,87
49793,RegionA,87
4894,RegionA,88
8428,RegionF,88
12524,RegionB,88
15253,RegionB,88
15299,RegionB,88
33778,RegionB,88
37963,RegionB,88
40190,RegionA,88
49587,RegionC,88
1873,RegionC,89
2214,RegionB,89
7192,RegionB,89
31978,RegionA,89
35220,RegionB,89
36792,RegionA,89
49869,RegionC,89
3841,RegionC,90
20264,RegionB,90
21430,RegionA,90
25751,RegionC,90
42729,RegionA,90
47943,RegionA,90
9119,RegionA,91
10992,RegionC,91
28298,RegionA,91
33316,RegionA,91
41657,RegionC,91
44671,RegionA,91
49423,RegionC,91
3894,RegionC,92
16461,RegionB,92
23771,RegionA,92
43220,RegionA,92
46272,RegionA,92
48284,RegionA,92
1293,RegionA,93
5987,RegionC,93
10347,RegionB,93
11354,RegionA,93
15565,RegionA,93
19023,RegionA,93
29273,RegionC,93
4270,RegionA,94
4783,RegionA,94
5419,RegionA,94
6105,RegionC,94
8914,RegionA,94
11711,RegionB,94
12748,RegionB,94
12766,RegionA,94
14817,RegionF,94
16009,RegionC,94
16717,RegionB,94
22243,RegionA,94
23784,RegionF,94
27820,RegionA,94
30166,RegionE,94
36339,RegionA,94
47634,RegionD,94
13990,RegionC,95
31972,RegionA,95
32486,RegionB,95
37467,RegionE,95
41616,RegionB,95
42979,RegionA,95
46020,RegionC,95
8699,RegionA,96
13034,RegionA,96
27380,RegionA,96
27652,RegionC,96
29507,RegionB,96
3581,RegionA,97
5911,RegionA,97
11151,RegionA,97
15042,RegionA,97
45600,RegionC,97
3301,RegionB,98
7911,RegionA,98
15585,RegionA,98
25157,RegionA,98
44370,RegionA,98
9618,RegionB,99
25127,RegionC,99
25898,RegionA,99
26651,RegionA,99
46502,RegionB,99
275,RegionA,100
28951,RegionC,100
45137,RegionA,100
46113,RegionA,100
48931,RegionC,100
4657,RegionA,101
21690,RegionC,101
26797,RegionA,101
31702,RegionA,101
42934,RegionB,101
48188,RegionB,101
48648,RegionB,101
48900,RegionD,101
3872,RegionB,102
41295,RegionB,102
2379,RegionC,103
3644,RegionC,103
7082,RegionC,103
11523,RegionC,103
26957,RegionC,103
41772,RegionA,103
41848,RegionC,103
43777,RegionD,103
6731,RegionA,104
14088,RegionC,104
23013,RegionB,104
27617,RegionA,104
32016,RegionE,104
32655,RegionB,104
36757,RegionC,104
39244,RegionC,104
677,RegionA,105
7744,RegionC,105
9627,RegionC,105
10590,RegionB,105
22438,RegionC,105
28566,RegionA,105
28709,RegionC,105
49195,RegionD,105
3179,RegionC,106
12630,RegionB,106
17173,RegionA,106
18983,RegionA,106
27650,RegionB,106
29017,RegionC,106
30150,RegionB,106
46759,RegionB,106
2834,RegionA,107
3174,RegionF,107
7682,RegionA,107
21528,RegionA,107
23369,RegionC,107
25282,RegionB,107
26378,RegionB,107
32626,RegionE,107
39727,RegionB,107
41517,RegionB,107
46537,RegionC,107
13317,RegionA,108
15155,RegionB,108
22451,RegionC,108
33615,RegionC,108
40727,RegionE,108
42667,RegionC,108
3931,RegionB,109
11542,RegionC,109
17884,RegionB,109
36702,RegionA,109
10417,RegionA,110
15941,RegionA,110
18960,RegionB,110
21350,RegionE,110
38777,RegionC,110
41048,RegionC,110
42806,RegionC,110
4688,RegionC,111
14704,RegionC,111
24286,RegionB,111
25689,RegionB,111
28302,RegionC,111
29083,RegionC,111
40442,RegionB,111
48258,RegionA,111
48535,RegionA,111
10566,RegionD,112
21554,RegionA,112
42185,RegionA,112
4182,RegionC,113
13147,RegionB,113
22144,RegionF,113
38805,RegionE,113
39846,RegionB,113
41600,RegionA,113
47873,RegionB,113
48089,RegionA,113
4577,RegionC,114
17082,RegionA,114
30030,RegionA,114
30285,RegionA,114
37813,RegionC,114
4110,RegionC,115
10320,RegionB,115
24766,RegionC,115
33377,RegionB,115
35795,RegionA,115
35860,RegionF,115
38087,RegionB,115
17574,RegionA,116
31987,RegionB,116
35249,RegionC,116
39174,RegionA,116
2843,RegionB,117
14574,RegionD,117
17669,RegionC,117
27194,RegionC,117
33333,RegionC,117
46816,RegionA,117
513,RegionA,118
7406,RegionA,118
11880,RegionA,118
15254,RegionB,118
37558,RegionC,118
39766,RegionB,118
44124,RegionC,118
44315,RegionE,118
3723,RegionC,119
10276,RegionC,119
14816,RegionC,119
18441,RegionB,119
19057,RegionB,119
19973,RegionA,119
21303,RegionC,119
25596,RegionA,119
27575,RegionE,119
28505,RegionC,119
36067,RegionB,119
42694,RegionC,119
43340,RegionA,119
47089,RegionC,119
49974,RegionC,119
3168,RegionA,120
6136,RegionB,120
8023,RegionA,120
9759,RegionC,120
12933,RegionC,120
20254,RegionC,120
27511,RegionA,120
31397,RegionB,120
46121,RegionA,120
12839,RegionB,121
31138,RegionA,121
36333,RegionA,121
47808,RegionB,121
7,RegionA,122
7739,RegionE,122
17740,RegionB,122
19443,RegionA,122
20203,RegionA,122
20393,RegionA,122
13602,RegionC,123
23947,RegionC,123
27277,RegionB,123
30914,RegionE,123
38499,RegionA,123
42914,RegionB,123
8619,RegionA,124
10470,RegionA,124
14300,RegionA,124
21534,RegionF,124
29078,RegionA,124
48422,RegionA,124
14971,RegionB,125
20690,RegionA,125
20970,RegionF,125
48281,RegionB,125
48897,RegionB,125
11684,RegionA,126
16242,RegionA,126
37680,RegionB,126
40904,RegionE,126
8603,RegionC,127
8700,RegionB,127
19613,RegionA,127
22148,RegionB,127
35938,RegionC,127
40029,RegionB,127
45523,RegionA,127
2978,RegionA,128
9211,RegionA,128
11185,RegionA,128
12192,RegionC,128
19483,RegionA,128
21269,RegionB,128
23473,RegionB,128
29817,RegionC,128
30876,RegionA,128
49328,RegionA,128
12829,RegionD,129
23486,RegionB,129
38706,RegionC,129
40238,RegionB,129
46093,RegionA,129
2981,RegionB,130
10375,RegionC,130
11240,RegionC,130
12615,RegionA,130
30555,RegionA,130
32983,RegionB,130
34553,RegionC,130
34728,RegionB,130
39817,RegionA,130
5009,RegionC,131
6394,RegionC,131
10508,RegionA,131
14590,RegionB,131
18130,RegionA,131
20640,RegionC,131
23498,RegionB,131
25929,RegionF,131
26083,RegionB,131
39050,RegionA,131
40400,RegionA,131
40779,RegionC,131
47550,RegionA,131
7436,RegionC,132
13170,RegionC,132
17700,RegionB,132
18163,RegionA,132
22484,RegionC,132
49084,RegionF,132
9339,RegionC,133
17189,RegionB,133
41803,RegionF,133
3998,RegionB,134
11072,RegionA,134
29335,RegionA,134
29565,RegionA,134
41033,RegionB,134
19351,RegionA,135
22195,RegionC,135
29587,RegionC,135
37060,RegionD,135
40877,RegionC,135
43693,RegionA,135
1980,RegionF,136
6539,RegionF,136
20413,RegionA,136
25017,RegionE,136
34916,RegionA,136
48684,RegionF,136
2911,RegionD,137
20238,RegionB,137
21957,RegionB,137
25145,RegionB,137
26419,RegionC,137
30605,RegionC,137
32839,RegionB,137
34780,RegionA,137
36414,RegionB,137
37592,RegionA,137
48747,RegionB,137
35106,RegionA,138
40312,RegionC,138
42892,RegionA,138
45786,RegionA,138
48261,RegionB,138
5407,RegionB,139
6782,RegionA,139
22936,RegionC,139
31645,RegionB,139
46314,RegionC,139
49021,RegionB,139
5362,RegionB,140
15578,RegionF,140
45963,RegionA,140
3026,RegionB,141
5088,RegionC,141
19874,RegionD,141
20648,RegionD,141
33588,RegionB,141
3609,RegionA,142
11425,RegionC,142
24436,RegionB,142
24976,RegionC,142
36475,RegionC,142
36919,RegionB,142
38031,RegionE,142
47443,RegionC,142
12502,RegionA,143
18584,RegionA,143
23675,RegionB,143
31416,RegionB,143
32146,RegionC,143
38806,RegionA,143
44150,RegionC,143
3516,RegionA,144
8202,RegionB,144
16703,RegionB,144
19382,RegionD,144
22835,RegionA,144
43116,RegionA,144
43653,RegionA,144
49924,RegionA,144
6588,RegionB,145
37966,RegionA,145
3643,RegionB,146
21031,RegionA,146
21868,RegionD,146
26344,RegionA,146
35309,RegionF,146
37322,RegionC,146
37943,RegionB,146
47064,RegionA,146
6931,RegionC,147
11331,RegionB,147
14398,RegionA,147
28544,RegionC,147
32084,RegionA,147
33730,RegionA,147
1205,RegionC,148
8975,RegionB,148
26681,RegionB,148
3359,RegionA,149
6020,RegionC,149
6986,RegionA,149
9033,RegionA,149
9517,RegionF,149
10892,RegionB,149
17918,RegionC,149
19313,RegionB,149
20044,RegionC,149
23282,RegionB,149
45370,RegionC,149
46227,RegionB,149
46733,RegionB,149
5462,RegionC,150
13079,RegionA,150
36224,RegionB,150
42536,RegionC,150
4568,RegionB,151
17912,RegionC,151
20757,RegionB,151
35569,RegionB,151
40185,RegionA,151
48733,RegionB,151
645,RegionB,152
8631,RegionD,152
24645,RegionA,152
30581,RegionA,152
42591,RegionA,152
44119,RegionA,152
6521,RegionA,153
12509,RegionA,153
14155,RegionA,153
14937,RegionA,153
17764,RegionA,153
20802,RegionB,153
28589,RegionB,153
31662,RegionF,153
35096,RegionB,153
47944,RegionA,153
2191,RegionA,154
3036,RegionE,154
3698,RegionC,154
10053,RegionC,154
10325,RegionA,154
16329,RegionB,154
16814,RegionB,154
27594,RegionC,154
32535,RegionA,154
44108,RegionB,154
45641,RegionA,154
47589,RegionA,154
5151,RegionB,155
17630,RegionC,155
33295,RegionE,155
37145,RegionC,155
38413,RegionA,155
7108,RegionC,156
18890,RegionD,156
20560,RegionB,156
27605,RegionB,156
29113,RegionB,156
43407,RegionB,156
30963,RegionB,157
41007,RegionB,157
43350,RegionC,157
18458,RegionA,158
36199,RegionC,158
46905,RegionC,158
20268,RegionF,159
21217,RegionC,159
34655,RegionA,159
42915,RegionB,159
49714,RegionA,159
5441,RegionB,160
9748,RegionA,160
33440,RegionA,160
2257,RegionA,161
9169,RegionE,161
12569,RegionA,161
18987,RegionC,161
22286,RegionB,161
27615,RegionA,161
37485,RegionC,161
39226,RegionA,161
6832,RegionC,162
20806,RegionF,162
21026,RegionB,162
28475,RegionA,162
31152,RegionA,162
32833,RegionB,162
34257,RegionB,162
39799,RegionB,162
42199,RegionB,162
1744,RegionF,163
8749,RegionD,163
8904,RegionB,163
18669,RegionA,163
35145,RegionF,163
43081,RegionC,163
7522,RegionC,164
9417,RegionC,164
25170,RegionA,164
33161,RegionB,164
34110,RegionA,164
34111,RegionA,164
37915,RegionA,164
43985,RegionB,164
46743,RegionA,164
4397,RegionB,165
9165,RegionA,165
12991,RegionB,165
19338,RegionA,165
34660,RegionA,165
35111,RegionC,165
12765,RegionA,166
13258,RegionA,166
28681,RegionB,166
36232,RegionC,166
37588,RegionB,166
40166,RegionB,166
40223,RegionA,166
18399,RegionA,167
22239,RegionB,167
29104,RegionA,167
37171,RegionC,167
40983,RegionF,167
47493,RegionB,167
3861,RegionC,168
6362,RegionA,168
10649,RegionB,168
49434,RegionA,168
49914,RegionB,168
25872,RegionA,169
10846,RegionB,170
13972,RegionA,170
30747,RegionB,170
44967,RegionA,170
46919,RegionD,170
955,RegionC,171
2490,RegionC,171
9093,RegionB,171
9324,RegionB,171
10374,RegionB,171
15730,RegionA,171
49754,RegionA,171
2931,RegionE,172
4191,RegionA,172
11991,RegionA,172
19650,RegionC,172
24403,RegionB,172
28272,RegionA,172
35832,RegionC,172
37471,RegionB,172
9018,RegionD,173
2040,RegionA,174
8221,RegionB,174
17517,RegionB,174
26660,RegionB,174
26875,RegionA,174
31295,RegionA,174
41189,RegionB,174
2560,RegionB,175
10203,RegionB,175
11783,RegionB,175
33036,RegionB,175
44610,RegionD,175
3715,RegionB,176
27643,RegionA,176
30783,RegionF,176
34608,RegionA,176
34796,RegionC,176
690,RegionA,177
5790,RegionC,177
12122,RegionA,177
12244,RegionC,177
18330,RegionB,177
21987,RegionA,177
35266,RegionB,177
45828,RegionB,177
48328,RegionC,177
12009,RegionC,178
35176,RegionC,178
41004,RegionA,178
954,RegionB,179
1827,RegionB,179
5757,RegionC,179
12927,RegionC,179
20419,RegionA,179
20590,RegionA,179
28248,RegionB,179
32625,RegionC,179
39702,RegionC,179
41380,RegionB,179
48741,RegionC,179
1787,RegionB,180
4846,RegionC,180
8643,RegionC,180
9605,RegionB,180
17631,RegionE,180
27984,RegionA,180
38595,RegionE,180
48612,RegionA,180
945,RegionA,181
1308,RegionB,181
1533,RegionC,181
7250,RegionB,181
30103,RegionA,181
41080,RegionC,181
48135,RegionA,181
15975,RegionB,182
17214,RegionB,182
18786,RegionA,182
29623,RegionA,182
33810,RegionB,182
38100,RegionB,182
45537,RegionA,182
47778,RegionC,182
4640,RegionB,183
10913,RegionC,183
17117,RegionB,183
19743,RegionE,183
20575,RegionC,183
23615,RegionA,183
36464,RegionA,183
38634,RegionC,183
6510,RegionB,184
13463,RegionB,184
19556,RegionB,184
20046,RegionA,184
28068,RegionA,184
34340,RegionA,184
34972,RegionB,184
38839,RegionA,184
48851,RegionB,184
1119,RegionC,185
6326,RegionB,185
10921,RegionA,185
14679,RegionE,185
26978,RegionD,185
29568,RegionC,185
31575,RegionC,185
32214,RegionA,185
34533,RegionC,185
43123,RegionA,185
14291,RegionC,186
24326,RegionB,186
28222,RegionB,186
29387,RegionA,186
2261,RegionC,187
19897,RegionB,187
20134,RegionB,187
26020,RegionC,187
32457,RegionA,187
573,RegionB,188
37722,RegionC,188
39044,RegionB,188
42990,RegionE,188
44312,RegionB,188
44484,RegionC,188
47166,RegionB,188
14723,RegionB,189
16008,RegionB,189
25804,RegionE,189
36936,RegionA,189
40993,RegionB,189
16472,RegionA,190
16670,RegionB,190
34798,RegionA,190
41332,RegionA,190
43360,RegionB,190
45051,RegionA,190
13039,RegionD,191
23375,RegionB,191
34116,RegionA,191
38901,RegionB,191
42337,RegionB,191
61,RegionB,192
10147,RegionA,192
10739,RegionA,192
14447,RegionB,192
18010,RegionC,192
21580,RegionF,192
25997,RegionB,192
35820,RegionC,192
38663,RegionA,192
42470,RegionC,192
8646,RegionA,193
12216,RegionB,193
16149,RegionA,193
17018,RegionB,193
21190,RegionB,193
31097,RegionC,193
31746,RegionC,193
33287,RegionC,193
35420,RegionD,193
35824,RegionB,193
38028,RegionB,193
39012,RegionB,193
41359,RegionA,193
46086,RegionE,193
14889,RegionE,194
22446,RegionA,194
32809,RegionC,194
34106,RegionB,194
49290,RegionB,194
11760,RegionE,195
16924,RegionA,195
40556,RegionC,195
5900,RegionB,196
6227,RegionB,196
9926,RegionA,196
15499,RegionE,196
17998,RegionD,196
36306,RegionF,196
49346,RegionD,196
12370,RegionD,197
1388,RegionC,198
15979,RegionA,198
48859,RegionC,198
21414,RegionC,199
24727,RegionC,199
41009,RegionE,199
3262,RegionB,200
9646,RegionC,200
11563,RegionD,200
13763,RegionA,200
15355,RegionF,200
20734,RegionA,200
25169,RegionA,200
44188,RegionB,200
6921,RegionA,201
9365,RegionC,201
10734,RegionB,201
22658,RegionA,201
28931,RegionC,201
49324,RegionB,201
11726,RegionC,202
29688,RegionA,202
35563,RegionC,202
757,RegionB,203
1999,RegionC,203
6702,RegionC,203
11035,RegionB,203
24081,RegionA,203
26058,RegionC,203
26786,RegionB,203
31814,RegionA,203
36140,RegionC,203
40603,RegionA,203
47357,RegionC,203
49118,RegionA,203
6291,RegionA,204
8364,RegionA,204
11697,RegionA,204
20654,RegionC,204
33772,RegionC,204
41874,RegionC,204
45033,RegionB,204
153,RegionB,205
336,RegionA,205
12609,RegionB,205
36959,RegionB,205
42662,RegionE,205
42937,RegionC,205
48096,RegionB,205
3063,RegionA,206
12711,RegionD,206
13738,RegionB,206
22653,RegionB,206
26307,RegionB,206
29305,RegionC,206
29619,RegionB,206
30380,RegionB,206
31393,RegionF,206
32494,RegionC,206
33239,RegionB,206
41685,RegionA,206
44120,RegionA,206
1083,RegionA,207
1188,RegionA,207
9596,RegionA,207
47593,RegionC,207
5633,RegionC,208
21695,RegionB,208
27192,RegionB,208
