Hour,energy|RegionA|renewable_pred,energy|RegionA|renewable_actual,energy|RegionB|renewable_pred,energy|RegionB|renewable_actual,energy|RegionC|renewable_pred,energy|RegionC|renewable_actual,energy|RegionD|renewable_pred,energy|RegionD|renewable_actual,energy|RegionE|renewable_pred,energy|RegionE|renewable_actual,energy|RegionF|renewable_pred,energy|RegionF|renewable_actual,energy|RegionA|price_pred,energy|RegionA|price_actual,energy|RegionB|price_pred,energy|RegionB|price_actual,energy|RegionC|price_pred,energy|RegionC|price_actual,energy|RegionD|price_pred,energy|RegionD|price_actual,energy|RegionE|price_pred,energy|RegionE|price_actual,energy|RegionF|price_pred,energy|RegionF|price_actual,energy|RegionA|carbon_pred,energy|RegionA|carbon_actual,energy|RegionB|carbon_pred,energy|RegionB|carbon_actual,energy|RegionC|carbon_pred,energy|RegionC|carbon_actual,energy|RegionD|carbon_pred,energy|RegionD|carbon_actual,energy|RegionE|carbon_pred,energy|RegionE|carbon_actual,energy|RegionF|carbon_pred,energy|RegionF|carbon_actual,energy|RegionA|nonai_pred,energy|RegionA|nonai_actual,energy|RegionB|nonai_pred,energy|RegionB|nonai_actual,energy|RegionC|nonai_pred,energy|RegionC|nonai_actual,energy|RegionD|nonai_pred,energy|RegionD|nonai_actual,energy|RegionE|nonai_pred,energy|RegionE|nonai_actual,energy|RegionF|nonai_pred,energy|RegionF|nonai_actual
10,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,653.3605072230196,724.61,625.1313899339175,694.41,604.2389176663154,674.29,389.05572586463114,432.75,341.2042292366161,382.43,365.85129014808535,402.56,0.5921639478662606,0.5917,0.5536057955364363,0.5535,0.5249270982798292,0.5249,0.4011993149237944,0.4008,0.21017616953281792,0.21,0.24798649142762513,0.2481,375.4114175843444,374.416667,318.4581672684199,378.72,295.84507555751327,365.219667,290.53620322913855,347.351333,323.2542164152666,340.493333,253.9363594630626,352.333333
11,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,658.9922634608987,725.04,629.899178072372,694.83,609.5966066081207,674.69,392.18395008211013,433.01,344.3920288584718,382.66,368.6488200076661,402.8,0.5869107552540225,0.5845,0.5486580049935748,0.5468,0.5203102124613745,0.5185,0.39723719939461555,0.3959,0.20817058491728052,0.2074,0.24585771484889343,0.2451,363.08953300066855,355.858,314.5505658720432,380.863333,297.28447521875904,359.438,257.9131405809764,304.246,269.63638358122705,296.71,217.99970666066633,311.191333
12,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,662.8298308950094,725.48,634.0236903555154,695.25,613.4285198568251,675.1,394.2398199619853,433.27,346.5796505097898,382.89,370.2740025760186,403.04,0.5813126073951724,0.5802,0.5437911325122593,0.5427,0.5158473019923107,0.5147,0.39362087573981,0.393,0.20640826990685818,0.2059,0.24364055333988008,0.2433,345.6499395386557,331.547333,303.37532686308026,331.360333,287.450864889883,331.413333,232.40931469280366,271.27,244.19539257180398,285.225333,198.75891160193424,335.506667
13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,665.1220277395307,725.9,636.2118440171834,695.66,615.7280770889142,675.49,395.723541700686,433.53,348.1375177084821,383.12,371.52335552076073,403.28,0.580136004059067,0.5791,0.5426939039063067,0.5417,0.5148497404715271,0.5137,0.39292679601510333,0.3923,0.20591107260227282,0.2055,0.2432924079805486,0.2428,333.901493429085,315.802,278.1784059126387,303.576333,270.8013831234866,318.768667,180.6010129429904,289.992,217.48197474601594,239.157333,189.28491938704892,282.996
14,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,667.8309489606286,726.32,638.722528624568,696.06,617.8219602239545,675.88,396.97153765638467,433.78,349.5847981366023,383.34,372.65619322542847,403.51,0.5811594710398417,0.5814,0.5438131825316421,0.5439,0.5155055387568841,0.5157,0.393621713640512,0.3938,0.20637757915797741,0.2063,0.24389988684622232,0.2438,319.768930909624,306.239333,254.6970484654465,287.683333,254.31562500591477,295.744,176.76897788466835,209.709333,179.3275440821829,212.674,168.88162980922817,246.254
15,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,671.0602256368747,726.74,641.22110693023,696.45,620.4434962379188,676.27,398.4947359935396,434.02,351.2976250506387,383.55,373.9561790776484,403.74,0.5855927193923384,0.5869,0.5481243161039091,0.5491,0.5193620848756717,0.5207,0.3966264198709417,0.3976,0.20789639740507654,0.2083,0.24540096188262764,0.2461,296.19250814347885,274.162,233.98814996170924,236.227333,233.3113641461158,266.480667,127.96928407768519,204.339333,153.7883774078004,220.633333,151.27738343927658,177.93
16,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,673.7099928853661,727.14,643.955469365182,696.84,623.4519562654004,676.64,400.17192179562016,434.26,353.1206080370406,383.77,375.3297960956025,403.97,0.5919946965783371,0.5954,0.5538218358033117,0.557,0.5252628939611358,0.5282,0.4008689886332279,0.4033,0.21025796461610674,0.2113,0.24838123753798816,0.2497,275.5826610188208,229.189333,205.73161894764053,197.768,210.35556068316544,238.387667,124.3923647863794,186.41,144.78786986937936,227.071333,119.50101815086552,162.106667
17,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,812.3453327446101,1054.92,783.1370967707137,1010.97,766.5252001121372,981.67,489.37796822069834,630.02,431.45704357224014,556.77,453.4187683836482,586.07,0.6028510156882513,0.6062,0.563888930225979,0.5671,0.5346747017092344,0.5378,0.4084051468860502,0.4107,0.21392024121922862,0.2151,0.2527090725639334,0.2542,257.850218842962,217.430333,187.59313459635385,212.509667,197.8654051670305,256.505,111.63629462171937,167.765333,148.50341525181756,219.966,96.55699064701295,160.028667
18,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,830.8495951689866,1055.49,800.9113929109121,1011.51,785.4182747851523,982.19,500.40566496166605,630.36,442.32108139415226,557.06,463.02293469865475,586.38,0.6128858216334082,0.6188,0.5730259530709385,0.5788,0.5442497958978572,0.5489,0.4149226424575039,0.4192,0.2173986763243114,0.2196,0.2569692303114267,0.2595,253.20360768610468,204.150333,192.51583374228377,158.044667,200.9977444459479,193.717,115.3249259928599,128.204,139.62196423701212,192.447333,90.66171701554816,159.312667
19,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,848.153394502388,1056.03,817.2163300142876,1012.03,799.9361197207107,982.7,509.88805723265614,630.69,451.3890348300719,557.35,472.0924745926928,586.68,0.6225001558095925,0.6321,0.5822286877746815,0.5913,0.552548792052182,0.5608,0.42123317109490566,0.4282,0.22095463798268583,0.2243,0.260973618288765,0.2651,254.2085209212984,227.419333,189.53853223867787,178.952333,196.45099610185775,207.644,110.10404542887426,142.655667,143.15504147681088,244.270667,98.08503113226598,137.827
20,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,860.462950315792,1056.56,828.0183142580771,1012.54,809.142549755618,983.19,515.6804533894556,631.0,457.3411756847155,557.63,477.36090371737936,586.98,0.6349250630285831,0.6455,0.5941735184489666,0.6038,0.5629475793899787,0.5726,0.429719717410767,0.4373,0.22501481314180838,0.229,0.2664282074274834,0.2707,262.61003891162494,187.096333,202.2310420957568,204.582,204.39047579626077,236.909333,114.11415970054537,132.850667,154.5934926590274,204.61,103.22538636328174,165.202
21,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,870.6445586561663,1057.08,838.3890870550432,1013.04,819.5161188511713,983.67,521.8316773378262,631.31,463.8632013824711,557.9,483.39605192275303,587.27,0.6443695185676288,0.658,0.6029068643103435,0.6155,0.57225103661094,0.5837,0.43612506879025537,0.4457,0.22864028296899297,0.2335,0.270636581565743,0.2759,263.40407706156134,212.461,219.95962887769625,219.931,221.9248694208659,252.873333,124.0968380318559,150.805,162.91089324982008,175.528,115.7208089393249,136.434333
22,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,713.614207372455,656.43,680.574450005999,629.08,653.4190117640369,610.85,419.4554069261513,392.04,373.8514769244579,346.45,394.3518471943052,364.68,0.6513764481980356,0.6687,0.609841506964448,0.6256,0.5781073062948391,0.5932,0.440841207763469,0.453,0.2310129490008979,0.2373,0.27351154176223336,0.2804,273.0246320360605,220.847333,240.41872343805832,275.023333,246.93227310160398,283.544667,152.6187666927185,176.678667,174.6687357983688,235.15,139.4195611552578,211.309333
23,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,510.22,693.364808408885,656.73,661.5277633158902,629.37,636.2104371652948,611.13,408.05234052411123,392.22,363.4190312362226,346.61,383.15086333194273,364.85,0.6575039809003512,0.6771,0.6157640986365569,0.6334,0.5841946983342327,0.6006,0.4454303016542452,0.4586,0.2332189691616969,0.2402,0.27604193435884294,0.2839,279.8408220278457,221.735333,268.39849588245477,292.435667,270.4427792216975,326.044667,183.3759833243589,244.746667,207.94527791828673,287.022667,176.76793349879054,240.361
24,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,583.4235419684987,474.52,555.3934758854517,454.75,527.7437925623329,441.56,340.63449036354984,283.39,303.9404405381847,250.44,321.6096572357712,263.62,0.6670746486371139,0.6825,0.6239999330786264,0.6384,0.5930790314088313,0.6054,0.45208126667337384,0.4623,0.23685587553141857,0.2422,0.2799918706181412,0.2862,300.1163576452279,297.296667,313.0348819738893,327.626,317.5309835195272,337.84,246.6008111183495,274.789,241.5261686488405,275.55,225.75549496305075,267.935667
25,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,583.6059899528757,474.72,555.5265780385106,454.94,527.8031837926366,441.75,340.7256011035153,283.51,303.92091033099854,250.55,321.6744096682623,263.73,0.6684986725354328,0.6846,0.625215567592008,0.6404,0.5942767913588605,0.6073,0.45317974868527006,0.4637,0.23738988556478802,0.2429,0.2802218057918723,0.2871,360.1869769285037,345.349333,340.23101985483254,365.876333,339.2994945035678,384.88,270.39053230109226,312.02,267.154935230811,322.796,272.3999474562904,328.328
26,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,583.3447374023865,474.91,554.9571423908831,455.13,527.5208292508561,441.93,340.56811673865076,283.63,303.7154435159863,250.65,321.6003916122945,263.84,0.6678045424553459,0.6833,0.6242698338498787,0.6392,0.5934017506608343,0.6061,0.4525460118977269,0.4629,0.23701732149201007,0.2425,0.2797358693403839,0.2865,392.99397186212303,392.358667,358.99151253823754,383.777667,359.4675693019525,371.44,295.06358825145054,366.438333,296.68998373887905,386.19,305.6553107328232,340.716
27,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,583.9913769831364,475.1,555.4077170760529,455.31,528.0889950679433,442.11,340.8969719180932,283.74,303.93291876500524,250.75,321.8130234651154,263.94,0.6639435897040115,0.6787,0.6206107382101452,0.6349,0.5907312890389691,0.6021,0.4504848794294958,0.4598,0.23593958016942784,0.2408,0.27850226985914994,0.2846,423.3255282540899,397.85,367.906845079159,387.552,354.25962374028353,363.676,342.09707065103163,342.975333,323.0390093204329,391.1,325.62569989876494,334.62
28,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,584.4702429740568,475.28,555.7619473750452,455.48,528.8143913218189,442.27,340.9301590179497,283.85,304.1192088019892,250.84,322.34611422242045,264.04,0.6586308201839532,0.6712,0.6154513823863742,0.6279,0.585987051022193,0.5954,0.4465250425024595,0.4547,0.23414250858539784,0.2382,0.2763995946541392,0.2815,426.8088237449718,396.64,370.96442445553606,386.12,348.3198615224174,369.153333,340.7476495506125,320.44,345.9399791388872,399.183667,326.1223536742385,258.082
29,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,584.2324841649076,475.45,555.5263302111579,455.64,528.769132970473,442.43,340.85062488208507,283.95,304.0271697121471,250.93,322.40749981458276,264.14,0.6518322068171596,0.6612,0.6094676659940801,0.6186,0.5798541143598185,0.5866,0.441683601722923,0.4479,0.23173957418017674,0.2346,0.2732157150406602,0.2773,424.7822750284666,379.377333,371.4184595453515,386.485333,352.7368197314397,367.992,337.9730038417014,339.493333,359.0897269829185,396.141667,302.13915408535115,357.664
30,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,583.4504947219448,475.61,555.1894755759379,455.79,528.1184148574965,442.58,340.40810748181474,284.04,303.77292096363635,251.02,322.0067971728541,264.23,0.6424786887480565,0.6496,0.6009663109916447,0.6077,0.5710085213365653,0.5763,0.4352210727304145,0.44,0.22830265208466236,0.2305,0.26955429639196354,0.2724,407.7279807135201,356.301667,371.84515834860525,371.976333,350.6122755964373,368.290667,335.61362790543205,375.696,351.6663180685273,389.288333,343.0122189184597,409.034
31,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,806.3726210607713,731.94,769.5976797796204,701.44,736.614390901442,681.11,474.4580319957285,437.13,421.36669188212744,386.3,445.23345720173677,406.63,0.630965086658126,0.637,0.5899186461236327,0.5959,0.5605932482315754,0.5651,0.4272407556777605,0.4315,0.22397045214120137,0.226,0.2647170320494542,0.2671,384.9263155031911,346.030333,361.9857487534374,371.708,350.05571899177716,381.238333,336.0291368417748,375.308667,336.7685383951234,390.455333,359.2369178622535,420.017
32,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,817.1982972835739,732.16,779.3983190632779,701.66,746.7591195467837,681.32,480.75668314353635,437.26,426.93412755027697,386.42,451.8443657028809,406.76,0.620101895278704,0.6245,0.5800818329388375,0.5842,0.5504238869967897,0.554,0.42020604412756674,0.423,0.21990419478703063,0.2216,0.25985648763345276,0.2619,370.9479426050122,363.262667,361.1645113364539,368.347333,358.26395330653685,347.712,331.3063024588541,362.314,319.2794698817679,361.386333,348.4614099978133,369.103
33,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,819.4978323645655,732.37,782.0513549223905,701.85,748.6365921011643,681.51,481.91286124652476,437.39,427.76705974920105,386.53,453.22226930058065,406.87,0.6070930330069888,0.6128,0.5682023753727392,0.5732,0.5386135218554573,0.5436,0.41112204035236277,0.4151,0.21515572883914927,0.2174,0.25462542028209223,0.257,386.39874083701227,371.739,356.9091865684336,371.185333,332.44839379013234,336.899333,311.97187236861646,394.727333,288.78972496231586,371.328,317.8718024461837,361.943333
34,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,817.1396113347976,732.56,779.1568380548567,702.04,746.0213401659473,681.69,480.6443180425772,437.5,426.1537236184431,386.63,451.57210133662613,406.98,0.5969363051299706,0.6027,0.5582793733441735,0.5638,0.5300049208763793,0.5347,0.40458835963052964,0.4083,0.2119683521780813,0.2139,0.2503794749833488,0.2527,389.19750525495186,362.323333,361.2856129125179,369.669333,326.8490575661453,344.553667,287.4302668253162,319.663333,271.92373771073744,283.343333,296.44391560680924,283.486667
35,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,815.3974016661522,732.74,778.1115713167243,702.21,744.780254109084,681.85,480.1396012230172,437.61,425.42131072711214,386.72,451.0677269943722,407.08,0.590496186375663,0.595,0.5521646504707337,0.5566,0.5235237684726198,0.5278,0.40012191778823303,0.4031,0.20954954017226224,0.2111,0.24755039926011946,0.2495,365.9366058646342,364.628667,351.6594663755843,367.168,328.1766368869092,343.248667,239.16941098542526,308.657,247.30329237272878,298.431667,257.2701593609021,292.686667
36,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,812.9958452450808,732.9,775.0823422247765,702.36,742.7749144818404,682.0,478.9038505289675,437.7,423.92628371298343,386.81,450.3184729918297,407.17,0.585962519982208,0.5902,0.5476381499613686,0.5521,0.5194063517178982,0.5236,0.3966371036377639,0.3998,0.20778108135878923,0.2094,0.24564586594978938,0.2475,353.9062636485225,314.984,328.5791832962872,334.88,316.4452790450694,309.524667,227.5424056025127,213.238333,236.44568034929435,272.351333,246.02586502044676,272.396
37,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,809.9934568625315,733.05,771.6018665426288,702.51,740.087454837401,682.14,477.1583150664035,437.79,421.98621603581495,386.89,448.4269681606282,407.25,0.5848349841250179,0.5887,0.5468137734257176,0.5507,0.5187377319229436,0.5222,0.39599801416451536,0.3988,0.20751930333258423,0.2089,0.24521292946153386,0.2469,322.8099190653694,287.213667,306.77268433240494,313.805667,290.3229404040048,319.545333,164.8371609405017,218.228667,204.22494193036363,229.532,233.53477330656972,245.626333
38,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,808.2439445203091,733.18,770.5010584336288,702.63,737.9922670390729,682.27,476.3627909925626,437.87,420.6098594282582,386.96,448.1577876709,407.32,0.585534088150747,0.5905,0.5475886048847696,0.5524,0.5181352639029522,0.5238,0.3966710863554686,0.4,0.20741606110512484,0.2095,0.2455645290596629,0.2476,299.7184882306188,277.904,285.3232292893526,293.57,281.15031702616244,299.369,153.14604644733345,179.738667,172.67392614299658,227.268333,214.53290772766005,289.364
39,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,807.2405296962671,733.3,768.9812818932303,702.75,736.8646705314013,682.38,475.2430276711001,437.94,419.7039319468255,387.02,447.54744818550785,407.39,0.5903771451125803,0.5955,0.5519827269977727,0.5571,0.5229210851884503,0.5283,0.3995139406631122,0.4034,0.20932032885524735,0.2113,0.24741329706686924,0.2497,276.19634978207444,267.354667,257.35035736849693,266.34,257.24844142404544,265.478,133.12443398898876,171.684667,156.7739894272901,213.527667,208.47518404040295,248.650667
40,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,804.5759750632459,733.4,766.4893501561601,702.85,734.4894282710002,682.47,474.52145642811934,438.01,418.2354536193159,387.07,446.1883272735748,407.45,0.5969587074880277,0.6035,0.5578823031772675,0.5645,0.529046152524303,0.5353,0.4042274754075747,0.4088,0.21163301830940662,0.2141,0.2500188621483125,0.2531,257.47023363835456,261.053333,229.17401425780866,218.339,223.13104608363798,236.16,112.05022869836398,158.062333,131.66270684143612,212.746667,168.44504552206945,158.324
41,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,1093.2498292249184,1063.56,1045.52292845686,1019.25,1006.9016684757214,989.71,648.3174412788867,635.18,571.4961693357902,561.33,607.6474544739103,590.87,0.6057559474324744,0.6138,0.566287422030673,0.5742,0.5379338741546897,0.5445,0.41028069200757605,0.4158,0.21483581727318155,0.2178,0.25387477811722836,0.2574,246.45918285769892,232.056667,208.71577083795597,188.030667,207.83883852543144,193.568,86.85902580127839,162.287,127.25085090558282,173.899333,127.1905043815554,152.268333
42,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,1103.050654276841,1063.67,1053.9274746819988,1019.35,1014.4000058086139,989.8,654.3918434383299,635.25,576.2336164321132,561.38,613.9911174437975,590.93,0.6142117560303743,0.6258,0.5740213353577008,0.5854,0.5455499210141745,0.5551,0.4157742433871766,0.4239,0.2177524275186968,0.222,0.25734521480737305,0.2624,242.27275558056314,200.420667,199.35888453071448,221.176,199.79381313149534,222.197333,97.35432815029569,156.541667,111.4379420052897,187.964,117.83578580035018,120.509667
43,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,1099.68920147023,1063.75,1050.726190156422,1019.43,1011.655675922159,989.88,652.8528253895349,635.3,573.9151135704387,561.43,612.3295563373827,590.97,0.6282684070768331,0.6386,0.5875807566248081,0.5974,0.5570410241346673,0.5665,0.4248396860083817,0.4326,0.222573975289488,0.2266,0.26320877905596335,0.2678,236.67641563081924,201.789,214.1303298010578,203.090667,208.90240525719307,193.576,103.20850212048742,147.677,119.16482384578788,166.596667,113.58110523601411,109.314
