Hour,n_tasks,gpu_hours
187,18,2074.3333333333335
188,24,2694.9500000000003
189,17,1717.25
190,25,3402.9666666666667
191,19,2464.5333333333333
192,32,3563.8166666666666
193,27,1579.05
194,15,2189.95
195,23,3117.516666666667
196,21,1523.7
197,14,2150.3333333333335
198,21,1451.6333333333334
199,17,1752.1499999999999
200,19,1609.0666666666666
201,23,1925.1833333333332
202,21,2488.1833333333334
203,21,997.5666666666667
204,24,2393.6833333333334
205,20,1617.7166666666667
206,23,2428.1666666666665
207,16,1236.1833333333334
208,23,2205.4666666666667
209,17,1658.4
210,21,2086.6833333333334
211,21,1608.15
212,25,2490.616666666667
213,26,1478.7666666666667
214,24,2739.7833333333333
215,20,2231.3333333333335
216,16,1573.2166666666667
217,21,3311.1
218,21,3650.5333333333333
219,25,2804.5333333333333
220,20,2384.366666666667
221,20,2116.1666666666665
222,21,1825.7666666666667
223,29,3376.7
224,26,2514.266666666667
225,15,1851.2833333333333
226,26,2084.366666666667
227,20,2875.883333333333
228,23,2811.1
229,26,3839.95
230,17,2480.2
231,16,1096.7166666666667
232,23,2249.0833333333335
233,18,2366.133333333333
234,18,1162.55
235,20,2984.0666666666666
236,16,2860.4833333333336
237,22,1208.1
238,15,1408.2666666666667
239,18,1057.9833333333333
240,22,2379.516666666667
241,21,2243.6833333333334
242,18,2173.3
243,20,2993.0833333333335
244,19,2553.85
245,25,2563.4666666666667
246,15,2332.5499999999997
247,23,1848.5666666666666
248,17,1051.9833333333333
249,25,1953.3166666666666
250,23,3169.516666666667
251,25,1254.5333333333333
252,25,2309.583333333333
253,24,2680.2
254,22,1563.6666666666667
255,21,2717.616666666667
256,13,1206.9166666666667
257,19,1404.4666666666667
258,31,3190.2333333333336
259,25,1543.0666666666666
260,29,2604.133333333333
261,24,1501.6833333333334
262,21,1638.35
263,24,2635.583333333333
264,17,1082.5333333333333
265,23,2274.866666666667
266,27,3811.3166666666666
267,15,1968.1333333333332
268,21,1815.3333333333333
269,18,1784.55
270,26,3120.616666666667
271,22,3168.733333333333
272,19,1070.6666666666667
273,23,1933.2666666666667
274,23,919.4
275,35,2566.6
276,24,1596.0833333333333
277,20,1401.5666666666666
278,22,2852.5
279,18,1945.8833333333334
280,18,2069.0333333333333
281,22,2127.2333333333336
282,15,1988.05
283,21,1646.85
284,27,2189.4166666666665
285,16,523.2333333333333
286,21,1252.3166666666666
287,20,1980.1333333333334
288,24,2207.6833333333334
289,22,1504.25
290,29,4116.2
291,16,871.3833333333333
292,24,3120.85
293,15,2744.133333333333
294,18,2613.983333333333
295,14,1483.4833333333333
296,9,326.1
297,20,985.9
298,17,2179.35
299,17,2478.3166666666666
300,21,1442.3333333333333
301,28,2329.6
302,12,886.3333333333334
303,23,1690.8666666666668
304,28,2617.483333333333
305,23,2614.65
306,16,1464.2833333333333
307,22,1140.9833333333333
308,22,1999.9
309,11,1074.4833333333333
310,14,994.1833333333333
311,20,1784.1
312,16,1765.4333333333334
313,23,2457.0666666666666
314,26,4885.733333333334
315,19,1839.8833333333334
316,17,2524.75
317,21,2823.9333333333334
318,27,3064.9333333333334
319,19,1287.4333333333334
320,20,2259.15
321,26,2248.4166666666665
322,19,2236.0666666666666
323,20,1663.1
324,28,2289.3
325,28,2991.0333333333333
326,17,1698.2
327,22,3435.766666666667
328,23,2864.4
329,23,2085.9333333333334
330,21,1615.05
331,17,1649.5
332,17,613.0
333,20,2025.5166666666667
334,25,1387.3166666666666
335,22,1435.0833333333333
336,20,1562.2166666666667
337,22,1990.7
338,23,2408.616666666667
339,20,1083.1666666666667
340,21,631.4166666666666
341,22,1718.0
342,24,3372.6
343,11,1837.05
344,13,2606.6
345,17,2188.6666666666665
346,21,3665.55
347,30,3045.883333333333
348,28,2317.5
349,23,1929.5166666666667
350,17,2271.9666666666667
351,28,2638.3166666666666
352,13,1522.1166666666668
353,24,2906.883333333333
354,22,1531.2
355,22,1671.2833333333333
356,24,3787.65
357,19,1622.0666666666666
358,19,1273.5666666666666
359,19,2353.016666666667
360,17,2496.95
361,24,1889.45
362,20,1948.05
363,20,1130.15
364,22,2429.4666666666667
365,21,2523.7166666666667
366,17,2912.4666666666667
367,21,2149.0333333333333
368,19,2024.2
369,34,3111.8166666666666
370,23,2815.0499999999997
371,17,2689.75
372,15,1547.1666666666665
373,20,1127.3
374,17,1058.6000000000001
375,12,2433.633333333333
376,21,586.2833333333333
377,21,1848.25
378,18,1254.4833333333333
379,13,2520.1833333333334
380,28,3265.9166666666665
381,27,1653.5166666666667
382,27,4617.483333333334
383,20,3254.35
384,19,1521.9666666666667
385,16,1725.2833333333333
386,13,1322.3
387,21,2653.45
388,19,2648.1
389,16,1633.9666666666667
390,17,1882.05
391,25,2715.05
392,24,1250.8333333333333
393,25,3047.3
394,16,3178.4166666666665
395,17,1374.25
396,19,1476.7833333333333
397,19,716.7166666666667
398,21,1631.65
399,19,1776.5
400,25,2477.733333333333
401,19,2498.1666666666665
402,20,2818.133333333333
403,19,3044.3166666666666
404,14,1515.9666666666667
405,21,2078.883333333333
406,22,2439.75
407,20,1321.7833333333333
408,23,2979.366666666667
409,23,2388.9833333333336
410,22,2570.9833333333336
411,30,2646.766666666667
412,15,997.05
413,20,4043.266666666667
414,27,3292.2166666666667
415,20,1385.95
416,18,1235.6
417,20,1663.2166666666667
418,22,1587.4333333333334
419,29,2500.383333333333
420,22,1777.4833333333333
421,25,2544.4
422,26,1906.8166666666666
423,24,2171.1833333333334
424,22,3246.3
425,23,2631.4333333333334
426,17,1688.7833333333333
427,23,1390.2666666666667
428,23,1894.1666666666665
429,24,3286.5333333333333
430,26,2363.6833333333334
431,14,1946.9166666666665
432,23,2807.883333333333
433,21,1963.65
434,25,2399.65
435,28,3134.6666666666665
436,22,1409.0
437,21,1942.3666666666666
438,24,2332.883333333333
439,17,1354.9333333333334
440,18,2558.766666666667
441,27,2441.8166666666666
442,26,2823.4333333333334
443,15,1187.9
444,23,1911.95
445,22,4152.083333333333
446,16,1090.2166666666667
447,31,3517.266666666667
448,21,1704.0833333333335
449,21,1867.1333333333332
450,21,1261.2
451,21,2099.1833333333334
452,16,1901.3666666666668
453,23,2894.883333333333
454,25,1395.5166666666667
455,23,2156.2333333333336
456,20,2003.5166666666667
457,13,1207.85
458,17,762.9
459,16,1699.6
460,27,2415.25
461,21,1249.6333333333334
462,19,2012.5833333333333
463,16,529.65
464,17,1930.6333333333332
465,18,2705.75
466,16,1684.9333333333334
467,20,2204.383333333333
468,18,1629.1833333333332
469,29,3722.4166666666665
470,19,1312.4666666666667
471,23,2643.8166666666666
472,20,1453.3
473,19,1806.1999999999998
474,28,3277.5166666666664
475,16,1464.8166666666666
476,23,3107.85
477,24,2721.55
478,19,934.1166666666667
479,18,922.1
480,31,2565.9666666666667
481,29,3363.0499999999997
482,22,3410.8333333333335
483,18,1142.9166666666667
484,29,3377.3166666666666
485,14,1150.7333333333333
486,18,2952.516666666667
487,13,2461.2166666666667
488,23,1575.8666666666668
489,17,2277.8166666666666
490,19,2444.766666666667
491,21,1823.0833333333333
492,22,2322.65
493,22,1301.1666666666667
494,23,1637.5666666666666
495,23,2795.8166666666666
496,14,1397.7666666666667
497,21,1946.0333333333333
498,10,1039.6333333333332
499,20,2168.983333333333
500,19,1568.55
501,16,2923.766666666667
502,12,990.4
503,29,2420.4
504,20,1205.05
505,25,4507.7
506,17,1888.2666666666667
507,17,2524.25
508,18,1626.2
509,23,2159.95
510,21,3239.083333333333
511,17,1575.9333333333334
512,23,2966.4833333333336
513,15,881.1666666666667
514,17,905.4
515,19,1351.2
516,23,1082.4166666666667
517,23,2404.0666666666666
518,18,1265.1666666666667
519,25,2425.9
520,25,1844.3833333333334
521,20,2472.95
522,26,3440.0833333333335
523,20,1263.7166666666667
524,14,1316.65
525,21,2381.616666666667
526,24,1461.25
527,29,2345.25
528,13,1392.95
529,19,2522.3166666666666
530,20,1940.1166666666666
531,26,3120.2166666666667
532,25,1865.3666666666668
533,17,1577.35
534,28,2402.1833333333334
535,27,1652.7166666666667
536,15,1677.2166666666667
537,22,1937.7333333333333
538,14,1279.6333333333334
539,25,3000.0
540,19,2219.6833333333334
541,20,1265.7666666666667
542,21,1524.8999999999999
543,32,5444.366666666667
544,16,2433.366666666667
545,25,2457.6833333333334
546,19,1550.85
547,21,2847.883333333333
548,24,1662.9166666666667
549,19,1442.2833333333333
550,23,2282.883333333333
551,23,1968.3833333333334
552,11,803.95
553,29,3253.7
554,16,1773.7166666666667
555,26,2427.5666666666666
556,25,4341.483333333334
557,18,1377.95
558,26,1364.2833333333333
559,21,978.2166666666667
560,23,1564.8833333333332
561,21,1993.25
562,18,1866.0166666666667
563,28,2727.5
564,19,2081.25
565,22,3145.8166666666666
566,26,1596.6333333333332
567,19,1083.1166666666668
568,23,1749.0333333333333
569,14,692.45
570,27,2234.2000000000003
571,19,2604.116666666667
572,28,3026.35
573,27,3612.6
574,20,1389.7166666666667
575,28,2275.55
576,29,1458.25
577,18,1994.3166666666666
578,17,754.6833333333334
579,21,2231.0833333333335
580,29,1699.3666666666668
581,18,1478.3
582,19,1448.4833333333333
583,19,1739.35
584,21,848.9166666666666
585,14,904.4666666666667
586,22,2580.5666666666666
587,10,683.6333333333333
588,28,3912.75
589,11,1691.85
590,18,1747.2833333333333
591,20,1352.7833333333333
592,19,2372.2833333333333
593,20,1910.2666666666667
594,21,2437.7
595,24,1946.3166666666666
596,28,3351.766666666667
597,23,2681.75
598,19,1990.9666666666667
599,15,1950.2166666666667
600,28,2109.883333333333
601,17,1872.3166666666668
602,18,1602.2666666666667
603,29,2712.05
604,22,3197.45
605,27,3035.7666666666664
606,19,1411.1333333333334
607,16,1589.6833333333334
608,32,2931.15
609,21,1682.6666666666667
610,25,3672.9333333333334
611,24,3211.483333333333
612,21,2819.9
613,19,1603.8
614,24,2389.35
615,17,1434.8166666666666
616,20,1755.5666666666666
617,16,1527.4666666666667
618,24,1913.6333333333334
619,21,1380.3166666666666
620,18,2199.7
621,26,1940.45
622,19,3316.133333333333
623,22,1238.5166666666667
624,23,3155.116666666667
625,19,2136.133333333333
626,18,1605.05
627,24,2556.5166666666664
628,23,1510.9
629,16,711.2
630,23,1762.2166666666667
631,25,3645.2666666666664
632,18,1394.6666666666665
633,36,2981.7166666666667
634,21,3742.7166666666667
635,25,2029.1
636,16,1436.9833333333333
637,25,2076.2166666666667
638,16,1413.7833333333333
639,22,2218.233333333333
640,25,1998.95
641,21,1125.3833333333332
642,29,1969.45
643,19,1178.9
644,14,1348.1499999999999
645,22,1865.1666666666667
646,20,1186.65
647,16,1002.85
648,22,2349.7000000000003
649,16,2219.3333333333335
650,19,1425.9333333333334
651,20,2636.8
652,25,3084.85
653,21,1300.95
654,24,2665.133333333333
655,26,3059.0
656,26,1941.0833333333335
657,10,1364.1000000000001
658,14,935.6999999999999
659,21,2308.866666666667
660,21,3684.133333333333
661,22,1561.6333333333334
662,24,1750.8333333333333
663,25,2383.083333333333
664,16,1483.6166666666668
665,16,2348.2333333333336
666,21,2080.8166666666666
667,21,1111.6
668,15,948.1
669,21,1627.1333333333332
670,16,928.5833333333334
671,19,3481.25
672,25,2752.616666666667
673,17,1392.3166666666666
674,26,3113.116666666667
675,21,1234.9666666666667
676,17,1590.1833333333334
677,17,1718.9833333333333
678,24,2072.0
679,17,3531.483333333333
680,16,1366.8333333333335
681,25,3093.5833333333335
682,13,1624.45
683,27,2481.516666666667
684,23,2517.883333333333
685,18,1530.1666666666667
686,21,2522.4333333333334
687,25,1433.7833333333333
688,14,1236.1666666666667
689,26,1730.9666666666667
690,23,1857.15
691,22,1832.7333333333333
692,18,1312.65
693,16,2297.6833333333334
694,23,2576.4333333333334
695,20,3267.5833333333335
696,16,2256.266666666667
697,19,2463.5666666666666
698,32,3047.2
699,17,2092.8166666666666
700,17,635.85
701,15,1774.7166666666667
702,12,683.5833333333333
703,20,2152.866666666667
704,16,1007.4
705,22,2483.7833333333333
706,25,2670.983333333333
707,18,2719.2833333333333
708,26,3604.5666666666666
709,19,1991.7166666666667
710,21,1371.0
711,20,1067.6166666666666
712,17,2259.4500000000003
713,26,3850.85
714,24,1539.3
715,17,1531.5
716,25,2629.0333333333333
717,24,2040.7333333333333
718,15,942.45
719,23,4160.25
720,18,2841.9666666666667
721,25,2881.2
722,15,858.75
723,22,762.7833333333333
724,28,3230.8166666666666
725,23,2104.5
726,19,1578.7333333333333
727,26,2826.7999999999997
728,24,2931.5166666666664
729,22,2609.8
730,19,1630.1166666666668
731,20,1676.5333333333333
732,23,2020.2333333333333
733,16,1973.666666666667
734,14,983.1333333333333
735,17,1298.5833333333333
736,21,2650.766666666667
737,18,4104.216666666666
738,27,2760.8333333333335
739,22,2795.7000000000003
740,20,2066.1833333333334
741,26,2840.516666666667
742,20,2068.116666666667
743,16,1302.2333333333333
744,16,2079.1666666666665
745,17,1552.9833333333333
746,29,2478.366666666667
747,15,1198.5833333333333
748,21,2547.1
749,21,3159.8166666666666
750,18,1437.4833333333333
751,19,2649.4333333333334
752,23,2255.7833333333333
753,28,3159.3333333333335
754,12,1544.0833333333335
755,18,2075.2833333333333
756,24,1854.5
757,22,1199.1666666666667
758,21,1812.6666666666667
759,17,1478.3166666666666
760,28,2948.05
761,19,1593.7333333333333
762,20,2446.633333333333
763,31,2957.983333333333
764,21,2472.233333333333
765,23,3162.016666666667
766,21,2380.883333333333
767,20,1979.5833333333333
768,20,1359.1
769,21,2370.9500000000003
770,21,1630.6166666666666
771,25,1332.2666666666667
772,19,1767.75
773,24,1679.9166666666665
774,22,2429.116666666667
775,14,1517.6333333333334
776,19,1220.5333333333333
777,26,2070.25
778,28,2404.95
779,18,1087.5
780,20,2026.0833333333333
781,19,1611.2833333333333
782,23,2327.116666666667
783,22,2758.7833333333333
784,15,2183.0166666666664
785,9,939.6166666666667
786,19,1840.6833333333334
787,26,4157.333333333333
788,23,2098.8
789,20,2667.7333333333336
790,25,1599.9833333333333
791,20,1683.0500000000002
792,22,2189.5666666666666
793,26,1616.4166666666667
794,17,1859.7
795,18,1732.0833333333335
796,21,1705.0833333333333
797,26,1602.0166666666667
798,15,2335.35
799,24,1650.9333333333334
800,14,1795.55
801,21,1710.1833333333334
802,19,1253.05
803,21,1151.6666666666667
804,25,2598.916666666667
805,21,1375.6000000000001
806,19,1488.6
807,17,1924.1
808,17,1702.5833333333333
809,13,847.3
810,23,1862.4833333333333
811,14,2380.7999999999997
812,27,1905.35
813,17,2847.9666666666667
814,18,738.3833333333333
815,22,2642.8666666666663
816,22,1371.1666666666667
817,20,1516.0333333333333
818,24,1957.8
819,28,3328.7166666666667
820,16,1537.6833333333334
821,13,1357.8833333333332
822,24,2272.35
823,21,1711.4499999999998
824,23,2337.483333333333
825,13,938.1
826,19,1553.4
827,24,1864.6
828,24,1733.7666666666667
829,14,1993.8833333333332
830,27,3209.2
831,22,2603.5499999999997
832,18,2346.2833333333333
833,16,1147.1166666666666
834,19,1614.5666666666666
835,21,898.6833333333334
836,21,2350.633333333333
837,23,2516.016666666667
838,21,2040.15
839,23,2523.3166666666666
840,14,910.6833333333333
841,17,2961.4833333333336
842,23,1652.0
843,24,4210.766666666666
844,23,2381.766666666667
845,11,692.1833333333333
846,17,1207.6666666666667
847,17,1685.5666666666666
848,23,3020.9666666666667
849,18,2697.7833333333333
850,24,1581.8833333333334
851,24,2060.8
852,16,1886.8833333333332
853,23,2028.1666666666667
854,20,1256.55
855,14,1501.05
856,21,3347.7166666666667
857,15,1405.8833333333334
858,26,1766.1499999999999
859,27,3310.5
860,17,1014.9833333333333
861,27,5251.9
862,19,3787.5666666666666
863,23,1505.6
864,18,767.1833333333333
865,23,1701.0166666666667
866,15,1075.4166666666667
867,22,1589.5666666666666
868,22,2752.4333333333334
869,20,3738.25
870,22,2832.2333333333336
871,16,2070.7166666666667
872,17,1930.9166666666667
873,22,1980.9166666666665
874,16,1283.35
875,19,1204.1000000000001
876,19,1103.0166666666667
877,19,2808.4166666666665
878,14,809.6166666666667
879,25,3068.7666666666664
880,16,2348.9333333333334
881,21,1226.2166666666667
882,27,2736.5666666666666
883,22,1416.1166666666666
884,12,1943.7
885,18,2194.2666666666664
886,25,1430.55
887,30,1896.1666666666667
888,28,806.3833333333333
889,26,2691.0
890,14,2396.5833333333335
891,29,2503.6
892,35,3406.6666666666665
893,19,1796.45
894,21,2031.7166666666667
895,15,2534.1833333333334
896,27,3002.45
897,24,1805.35
898,15,1585.5
899,15,1579.6333333333334
900,17,2418.383333333333
901,16,696.2666666666667
902,28,2415.3166666666666
903,24,1567.25
904,15,1526.0166666666667
905,16,837.5333333333333
906,22,2686.3
907,14,1432.25
908,16,723.5833333333334
909,23,4463.383333333333
910,24,2138.95
911,27,4841.616666666667
912,28,2038.2666666666667
913,26,4458.75
914,24,2901.75
915,20,1141.3333333333333
916,20,2163.95
917,17,1946.0333333333333
918,21,1537.0833333333335
919,20,1919.5
920,17,2227.1833333333334
921,18,2084.25
922,18,687.8333333333333
923,16,2391.9333333333334
924,15,1159.7166666666667
925,17,2269.6833333333334
926,14,971.6666666666667
927,17,1891.1666666666667
928,24,2461.0
929,22,1247.1833333333334
930,20,1703.4333333333334
931,24,1640.2166666666667
932,19,1814.8666666666666
933,28,2620.3333333333335
934,19,1394.8833333333334
935,18,1629.0
936,24,3301.85
937,22,1215.0
938,17,1712.5166666666667
939,19,1191.45
940,21,3308.75
941,21,1690.3666666666666
942,22,3276.8166666666666
943,21,4401.15
944,21,3059.383333333333
945,17,591.85
946,20,1860.75
947,23,3123.1833333333334
948,19,2508.4333333333334
949,22,1303.2333333333333
950,27,2127.5833333333335
951,18,2429.6
952,31,3511.266666666667
953,19,2021.2833333333333
954,17,1398.3166666666666
955,19,1238.9833333333333
956,16,733.8833333333333
957,21,2253.133333333333
958,17,1466.0
959,21,2054.0666666666666
960,16,1928.2666666666667
961,20,1747.6499999999999
962,26,2424.383333333333
963,27,1997.1166666666666
964,16,1402.6333333333334
965,26,2208.0
966,22,2661.85
967,30,2557.7333333333336
968,22,1793.05
969,19,3182.05
970,16,2058.5666666666666
971,16,1214.6
972,18,2949.9833333333336
973,27,1255.5166666666667
974,9,312.3666666666667
975,19,803.4833333333333
976,12,761.4666666666667
977,20,2579.4666666666667
978,17,667.3166666666666
979,20,2242.2
980,24,3599.333333333333
981,20,915.4333333333334
982,18,986.85
983,18,2177.35
984,22,1751.4833333333333
985,19,2396.35
986,21,1066.55
987,24,2069.7000000000003
988,11,661.9833333333333
989,13,2536.5166666666664
990,19,3086.9666666666667
991,30,3846.366666666667
992,32,3014.4166666666665
993,15,2211.2
994,20,1137.4666666666667
995,14,996.1666666666666
996,20,2313.1
997,16,833.6333333333333
998,28,2590.516666666667
999,21,2492.5833333333335
1000,26,2151.65
1001,33,2024.6
1002,24,3894.2666666666664
1003,16,1230.5833333333333
1004,16,1344.25
1005,22,2431.2166666666667
1006,29,2229.133333333333
1007,23,1757.6666666666667
1008,19,1240.7
1009,22,2785.7
1010,27,2696.7
1011,21,2351.616666666667
1012,22,1884.7833333333333
1013,22,1694.3333333333333
1014,19,2162.15
1015,13,1276.7666666666667
1016,32,3313.1
1017,23,2191.9333333333334
1018,25,1666.2166666666667
1019,24,2679.483333333333
1020,20,1653.85
1021,17,1862.8000000000002
1022,25,1745.0833333333333
1023,28,1758.75
1024,30,2972.133333333333
1025,21,2652.366666666667
1026,22,4058.45
1027,19,2068.4333333333334
1028,23,2025.5166666666667
1029,21,1712.95
1030,16,868.9833333333333
1031,18,1644.3833333333332
1032,26,3266.2666666666664
1033,20,2488.5333333333333
1034,19,2451.4
1035,25,2285.866666666667
1036,18,2642.8
1037,9,935.5166666666667
1038,13,432.8
1039,16,1526.3333333333333
1040,13,2844.7166666666667
1041,23,1768.0666666666666
1042,17,885.85
1043,20,1663.7
1044,15,2274.95
1045,27,2857.3
1046,29,1871.8333333333333
1047,23,3352.25
1048,21,1407.9333333333334
1049,16,1894.85
1050,16,2200.3166666666666
1051,15,1761.5833333333333
1052,19,1457.6333333333334
1053,27,3474.116666666667
1054,21,2028.8666666666666
1055,15,1852.0833333333333
1056,21,2301.8166666666666
1057,33,1885.2
1058,18,1231.4833333333333
1059,25,2109.75
1060,15,1396.6166666666668
1061,19,1731.5166666666667
1062,12,811.3833333333332
1063,28,3083.0333333333333
1064,13,1454.7
1065,25,1439.5333333333333
1066,25,1899.1333333333332
1067,21,1916.4
1068,22,1951.9333333333334
1069,29,2655.3333333333335
1070,14,1112.5166666666667
1071,27,1939.0666666666668
1072,29,3433.85
1073,18,1249.9833333333333
1074,21,2044.0166666666667
1075,23,1743.8333333333333
1076,27,3408.25
1077,15,1916.9666666666667
1078,17,1820.3666666666666
1079,21,2026.2666666666667
1080,20,1165.6666666666665
1081,15,1501.1166666666666
1082,17,1437.05
1083,23,2141.3
1084,18,1152.1166666666668
1085,17,1908.6333333333334
1086,26,3335.2833333333333
1087,15,1631.2166666666667
1088,19,1939.7666666666667
1089,19,3258.7833333333333
1090,18,1877.4
1091,19,1408.6833333333334
1092,17,2300.483333333333
1093,19,2486.55
1094,20,1841.1333333333332
1095,17,2014.3833333333334
1096,27,1877.1333333333334
1097,19,485.3833333333333
1098,21,2204.25
1099,21,2017.8
1100,25,2711.2666666666664
1101,21,2887.15
1102,16,1769.8333333333335
1103,28,3991.7000000000003
1104,19,2595.866666666667
1105,15,819.1166666666667
1106,17,1807.55
1107,27,3165.366666666667
1108,25,3584.1
1109,18,2257.366666666667
1110,18,2181.5666666666666
1111,23,1851.2833333333333
1112,23,2576.7166666666667
1113,20,2483.3333333333335
1114,26,2547.116666666667
1115,19,1245.5333333333333
1116,31,3278.366666666667
1117,15,2204.766666666667
1118,16,2819.883333333333
1119,32,4095.6833333333334
1120,15,1636.2166666666667
1121,27,2402.4333333333334
1122,21,1951.3166666666666
1123,22,1718.6666666666667
1124,22,2271.9333333333334
1125,12,1139.5833333333333
1126,14,1626.8
1127,19,2544.5166666666664
1128,24,2107.133333333333
1129,9,241.8
1130,21,2466.633333333333
1131,18,1228.9333333333334
1132,17,1171.15
1133,16,844.45
1134,19,1739.2166666666667
1135,20,1427.2666666666667
1136,18,1826.7666666666667
1137,19,2234.5333333333333
1138,22,1408.2
1139,30,3115.7000000000003
1140,25,2064.883333333333
1141,19,1677.3166666666666
1142,20,1663.1833333333334
1143,19,1644.1333333333332
1144,25,2194.3
1145,18,1482.5333333333333
1146,21,2984.4166666666665
1147,17,1103.1666666666667
1148,17,2103.2166666666667
1149,14,1309.4
1150,20,2162.3333333333335
1151,15,1527.8833333333332
1152,19,1486.4
1153,24,2055.866666666667
1154,30,3357.333333333333
1155,17,972.6
1156,18,2193.866666666667
1157,19,1712.0666666666666
1158,21,848.0
1159,23,2855.35
1160,20,1289.2666666666667
1161,17,1702.9166666666665
1162,20,1986.0166666666667
1163,15,1327.7666666666667
1164,16,1582.2
1165,26,1644.2333333333333
1166,19,785.75
1167,29,1718.8999999999999
1168,21,1922.8666666666668
1169,21,1250.6666666666667
1170,18,1008.3333333333333
1171,10,1701.05
1172,12,937.1666666666666
1173,23,1965.5666666666666
1174,24,2793.666666666667
1175,23,2359.633333333333
1176,20,1302.2666666666667
1177,16,2436.866666666667
1178,19,2617.7
1179,26,2352.2666666666664
1180,13,919.7666666666667
1181,24,1938.1166666666666
1182,18,2272.9500000000003
1183,24,3463.616666666667
1184,17,2904.133333333333
1185,24,3044.0833333333335
1186,17,1830.4
1187,28,3059.133333333333
1188,20,1500.2666666666667
