Hour,RegionA|RealTimeInference,RegionA|BatchInference,RegionA|AITraining,RegionB|RealTimeInference,RegionB|BatchInference,RegionB|AITraining,RegionC|RealTimeInference,RegionC|BatchInference,RegionC|AITraining,RegionD|RealTimeInference,RegionD|BatchInference,RegionD|AITraining,RegionE|RealTimeInference,RegionE|BatchInference,RegionE|AITraining,RegionF|RealTimeInference,RegionF|BatchInference,RegionF|AITraining
150,193,11,7,64,21,2,54,23,7,127,27,0,58,15,0,29,42,0
151,0,23,6,92,51,25,0,93,6,87,35,0,158,23,0,100,6,0
152,0,39,19,47,21,4,0,26,0,207,38,7,455,12,0,94,17,0
153,0,31,34,122,19,12,126,28,0,305,28,0,0,0,0,0,0,5
154,76,0,17,101,0,15,0,0,7,129,44,0,159,21,5,103,32,0
155,0,0,4,0,8,3,0,0,8,0,18,0,70,0,4,160,0,0
156,0,10,0,0,0,19,0,38,4,0,16,6,107,0,0,334,7,0
157,84,78,0,55,20,5,72,22,5,93,0,0,107,0,0,0,11,0
158,0,0,2,0,23,0,0,0,11,166,37,0,277,0,0,179,36,0
159,0,27,6,0,24,2,69,39,7,71,35,0,125,23,0,87,23,4
160,0,10,7,0,0,3,106,34,0,67,14,0,151,0,0,0,40,0
161,0,31,21,0,21,6,0,0,9,595,30,0,18,0,1,150,16,0
162,0,21,9,0,34,21,0,0,6,118,24,0,63,0,0,24,28,5
163,91,32,5,0,24,1,0,11,5,326,0,6,44,0,0,112,22,9
164,36,43,26,125,12,4,0,7,10,0,13,0,157,13,0,0,38,0
165,0,74,14,128,27,3,86,0,7,0,0,0,116,29,0,162,0,0
166,56,42,14,0,44,17,0,0,3,30,10,0,391,4,0,186,7,0
167,0,48,8,0,34,7,0,13,2,46,15,0,91,4,0,0,11,4
168,107,7,13,0,8,10,0,8,2,183,23,0,223,0,0,210,40,0
169,0,9,6,0,0,0,0,21,0,86,43,0,0,0,0,269,4,0
170,122,7,12,162,21,8,78,7,0,408,6,3,57,33,0,124,32,0
171,0,23,5,0,20,12,0,23,10,213,20,0,88,0,0,379,0,0
172,0,0,8,124,0,11,36,0,6,117,38,0,0,38,3,87,16,0
173,95,0,0,107,15,0,101,0,0,110,10,2,20,14,0,299,0,0
174,0,6,5,0,4,20,90,0,0,131,0,0,255,43,0,0,6,0
175,230,17,0,0,8,17,0,0,0,67,7,1,96,21,0,231,29,0
176,0,0,13,0,21,6,0,17,1,0,25,0,148,0,0,127,0,5
177,79,13,16,0,4,12,0,43,8,0,25,0,136,23,0,106,9,0
178,0,16,1,23,10,0,0,0,5,158,0,0,105,0,0,129,11,0
179,0,97,8,58,20,14,29,39,18,0,11,0,123,30,0,153,0,0
180,0,21,12,0,27,5,0,19,9,363,0,0,102,48,11,0,0,0
181,0,65,12,0,19,4,0,19,5,228,34,0,89,19,0,68,18,0
182,0,0,16,0,17,18,0,5,4,389,26,0,85,0,0,120,17,0
183,35,26,8,92,12,12,45,42,12,225,7,0,167,15,1,112,11,0
184,106,0,19,0,16,28,0,20,0,296,0,0,250,19,0,153,20,0
185,0,36,15,21,0,5,47,15,19,155,0,1,148,0,2,87,19,0
186,0,20,6,0,52,6,110,35,2,0,41,0,38,0,0,0,18,0
187,0,0,3,0,47,6,0,4,5,291,0,0,0,28,0,193,0,0
188,0,47,0,0,14,14,121,26,10,241,5,0,28,8,5,192,23,0
189,0,15,4,52,23,11,0,39,0,290,0,0,0,12,6,17,22,0
190,63,59,12,0,35,14,207,0,0,110,40,0,204,18,0,51,0,0
191,0,29,4,0,9,10,48,32,0,0,0,3,422,23,0,0,21,0
192,0,35,9,86,44,11,176,13,10,416,33,0,75,0,0,64,18,6
193,0,23,8,19,13,20,0,20,19,89,19,4,124,18,5,103,7,0
194,0,0,3,0,0,9,0,0,4,0,30,0,243,7,7,323,0,0
195,0,10,3,0,0,0,65,17,3,656,30,0,153,0,5,58,23,0
196,0,28,6,0,8,4,66,43,0,115,23,4,45,20,4,119,23,1
197,0,0,0,111,32,0,47,8,0,110,19,7,205,17,0,36,0,0
198,0,0,2,0,38,0,0,45,12,64,19,0,114,25,0,183,12,0
199,0,6,0,90,49,0,97,20,5,505,0,0,0,0,7,0,18,0
200,0,0,16,0,8,10,0,6,5,118,32,1,107,0,0,100,22,2
201,0,25,8,0,31,11,0,34,5,320,13,0,114,31,0,84,6,0
202,134,41,1,68,7,0,0,5,8,321,4,0,165,0,0,20,16,0
203,79,18,20,0,0,9,0,31,20,188,0,0,0,8,0,0,25,0
204,0,63,13,57,30,5,0,4,11,289,0,0,153,0,0,74,0,0
205,0,20,5,0,0,24,0,40,3,301,21,0,0,20,6,127,20,0
206,0,0,10,88,0,22,0,0,3,64,10,6,216,0,0,117,0,7
207,0,0,8,0,43,0,0,6,4,119,7,0,0,20,0,37,18,0
208,0,36,13,0,23,8,51,20,10,176,61,6,118,0,0,51,0,0
209,117,8,3,0,10,12,0,33,3,49,27,0,225,0,0,0,21,0
210,0,0,16,51,34,0,122,16,8,247,51,0,93,23,0,0,0,0
211,0,14,5,83,27,6,0,4,5,68,29,0,151,16,0,0,10,0
212,0,6,10,0,0,17,0,0,12,363,40,0,138,41,7,151,0,0
213,68,39,1,0,0,16,0,37,0,33,21,0,211,48,2,88,0,0
214,0,52,4,0,43,5,0,0,3,193,0,0,0,35,1,351,0,6
215,0,18,14,0,21,4,108,12,7,72,26,0,167,16,0,205,0,0
216,0,0,8,0,0,0,0,9,0,91,17,0,74,8,0,292,23,4
217,90,12,3,0,34,5,0,0,5,147,42,0,238,23,0,263,0,4
218,0,22,8,0,63,0,0,23,0,277,20,0,418,14,0,0,20,0
219,39,18,8,0,27,14,0,0,9,121,23,0,433,35,0,216,0,0
220,0,16,19,0,57,9,115,16,0,90,0,0,124,17,0,190,18,0
221,45,11,6,0,22,0,0,0,10,191,29,0,111,18,0,77,16,4
222,0,22,10,0,0,0,0,26,4,158,18,4,126,26,3,315,0,4
223,0,0,34,74,20,11,34,0,13,524,35,0,105,21,0,57,0,0
224,25,53,19,0,40,12,52,39,3,298,0,0,59,37,0,75,0,0
225,87,0,21,108,4,7,0,9,0,64,27,0,0,0,0,94,30,0
226,0,0,15,0,33,21,0,27,19,289,29,0,0,0,0,204,4,0
227,115,13,3,0,14,2,0,0,0,114,0,0,101,20,0,468,32,0
228,0,21,10,0,35,12,0,22,0,189,22,0,273,0,0,382,39,0
229,0,0,5,116,11,8,0,39,11,287,50,0,160,7,0,427,0,0
230,52,12,7,63,0,7,0,10,5,37,25,0,65,16,0,251,10,0
231,0,15,3,0,0,7,22,0,2,63,4,6,142,16,0,0,4,3
232,133,23,0,0,34,17,90,37,6,81,6,7,177,17,7,126,0,0
233,0,0,5,0,30,9,103,10,7,143,22,0,111,14,0,167,0,5
234,0,20,3,0,25,6,0,12,4,0,28,0,126,7,0,60,39,0
235,0,25,9,96,6,0,0,0,0,532,9,0,111,0,0,258,0,0
236,0,0,15,0,34,0,0,7,6,299,21,0,178,0,0,282,0,0
237,0,33,15,73,20,6,185,35,1,0,35,0,0,0,0,0,0,0
238,121,5,6,51,0,2,0,47,10,121,23,6,80,0,0,0,0,0
239,0,21,12,0,13,10,0,18,3,31,24,2,0,10,0,200,19,0
240,0,28,2,0,18,3,39,0,15,135,24,0,156,0,0,228,14,4
241,0,0,13,78,17,6,0,42,12,78,22,0,129,11,0,302,0,0
242,0,29,13,0,14,9,0,12,5,117,22,0,60,34,0,212,5,3
243,0,0,4,0,0,11,0,7,8,265,22,3,280,18,0,126,23,5
244,0,45,7,0,0,30,63,0,5,156,26,0,222,14,0,0,0,0
245,183,6,6,77,9,12,26,13,0,105,26,0,187,0,6,142,30,0
246,0,0,12,0,0,2,123,0,11,225,12,0,140,0,0,149,0,0
247,0,6,9,0,21,12,0,0,6,282,72,0,73,0,4,0,27,0
248,0,6,4,0,23,9,0,0,3,90,26,0,39,30,0,77,25,0
249,27,11,15,0,38,3,107,0,9,212,6,0,0,28,7,230,28,0
250,0,6,11,0,0,22,0,22,5,569,0,0,305,22,0,39,0,0
251,0,22,14,22,0,5,0,0,11,63,75,0,0,13,3,277,33,0
252,59,26,0,0,18,7,25,6,12,359,36,4,0,0,1,150,23,5
253,81,6,17,89,7,11,86,0,5,287,21,0,31,4,0,197,0,0
254,0,19,20,0,0,12,0,27,14,121,0,0,80,31,0,0,29,4
255,127,10,11,243,24,10,0,0,0,291,0,0,0,9,0,123,22,0
256,37,23,5,0,8,5,26,22,2,144,5,0,0,0,0,0,0,0
257,0,0,13,0,19,12,59,14,0,264,11,1,76,0,0,81,20,0
258,0,26,9,90,0,11,0,11,9,339,22,6,282,40,7,0,32,0
259,0,0,2,86,39,15,118,29,9,147,40,0,120,9,8,142,7,0
260,232,19,44,0,8,15,0,0,0,228,45,0,121,33,3,91,19,0
261,0,12,7,0,8,26,0,37,14,87,8,0,173,5,0,57,78,0
262,45,23,7,0,38,2,0,17,8,160,36,0,99,5,0,45,9,0
263,0,0,23,0,42,17,92,0,5,49,43,0,87,0,0,203,55,0
264,0,70,13,72,5,7,0,0,0,145,9,2,0,0,0,0,15,4
265,0,94,0,91,19,4,76,27,10,340,0,0,0,0,0,55,0,0
266,0,0,24,42,53,7,0,12,7,347,0,0,456,0,0,37,31,0
267,0,21,5,89,0,18,0,0,9,85,0,0,155,0,0,122,12,0
268,0,0,11,50,14,8,0,17,3,224,28,0,47,10,0,140,12,0
269,0,47,11,0,23,6,0,0,0,73,26,0,171,0,0,241,4,0
270,127,33,9,86,0,5,0,18,10,453,0,0,50,23,0,166,12,5
271,0,28,0,65,34,0,0,30,5,117,8,0,422,0,5,278,0,0
272,0,25,11,0,0,14,0,19,0,38,39,0,0,8,0,200,0,0
273,17,21,10,105,7,14,0,7,11,101,5,0,122,0,0,285,0,0
274,26,11,19,0,19,21,0,23,15,0,15,0,93,0,0,16,5,0
275,0,51,12,87,27,11,68,16,9,416,31,0,156,15,0,206,16,6
276,0,39,7,0,0,8,22,14,17,125,104,0,139,27,1,0,0,0
277,0,30,7,85,42,2,0,22,4,68,23,0,129,37,5,60,0,0
278,0,9,3,0,17,4,56,27,6,395,0,0,160,33,0,19,22,0
279,95,0,6,53,0,8,52,35,0,166,20,0,105,0,0,124,7,0
280,46,42,9,0,5,4,0,0,0,164,38,0,179,7,0,53,0,0
281,41,26,3,0,0,3,16,45,4,206,19,0,113,18,0,104,32,0
282,90,4,14,338,10,12,0,0,3,111,9,0,0,0,0,0,10,0
283,0,27,7,0,20,1,0,44,6,389,31,0,0,0,0,16,0,0
284,0,35,11,23,61,6,47,21,12,220,45,0,69,0,0,0,9,0
285,0,5,10,22,36,10,0,22,10,173,0,0,0,17,0,0,0,0
286,0,0,10,127,64,11,0,43,0,69,27,0,0,17,0,38,21,0
287,0,19,7,86,26,10,0,40,7,105,44,0,110,0,0,29,0,0
288,0,53,4,0,24,17,0,0,5,179,14,0,98,23,0,279,17,0
289,0,5,17,21,6,3,0,6,7,33,49,0,294,0,0,202,0,1
290,0,28,13,115,40,10,127,26,2,352,13,0,173,11,0,64,18,3
291,0,18,9,0,48,0,0,26,7,84,0,0,70,16,0,0,0,0
292,0,23,4,0,66,5,0,43,7,0,5,0,0,0,0,723,0,0
293,0,6,11,126,0,7,0,0,0,322,0,2,0,0,2,180,0,0
294,0,15,1,0,17,1,0,45,11,231,16,5,0,21,0,280,0,0
295,22,44,0,0,34,10,0,0,7,215,0,0,55,0,0,0,0,0
296,60,8,0,0,0,2,0,0,6,0,23,2,61,0,0,0,0,5
297,82,10,10,0,56,12,0,0,3,97,37,0,104,0,0,64,0,0
298,0,9,7,0,36,12,0,36,6,322,10,0,0,0,0,79,0,0
299,0,16,6,0,22,6,116,14,0,221,17,0,56,0,0,243,4,0
300,0,15,8,0,4,22,0,0,14,0,4,0,301,19,0,81,0,1
301,51,58,18,0,0,19,0,37,10,261,0,0,119,5,0,199,14,0
302,0,0,8,0,20,2,0,14,0,311,0,0,0,7,0,56,0,0
303,0,0,20,0,0,15,63,40,2,237,0,0,177,0,0,21,14,0
304,0,0,9,57,28,14,247,9,7,91,67,0,0,37,0,246,4,5
305,50,15,0,0,59,15,0,0,19,95,0,0,287,15,1,233,0,0
306,36,22,0,0,20,19,0,0,4,101,7,0,0,48,0,190,0,0
307,0,17,12,0,12,5,0,32,7,115,27,4,132,0,0,174,0,0
308,72,0,1,0,0,1,0,12,0,267,61,13,346,35,0,67,0,0
309,0,21,0,80,0,7,0,0,6,0,36,0,185,0,0,0,20,0
310,0,27,2,0,33,0,0,7,0,152,10,0,16,15,0,27,0,2
311,0,9,9,0,0,6,80,0,6,202,69,0,77,18,0,80,16,0
312,20,0,5,0,14,8,0,8,4,118,19,3,0,7,0,288,0,0
313,0,37,8,52,71,3,0,0,8,246,0,0,208,20,2,0,0,7
314,110,16,7,199,45,9,0,8,0,240,5,0,284,21,0,364,0,5
315,0,0,5,0,0,9,108,36,0,159,20,0,361,0,0,95,0,0
316,95,10,8,80,0,0,21,17,0,228,7,3,107,27,0,0,0,5
317,0,0,8,0,34,3,158,0,19,360,0,6,135,0,0,0,15,4
318,125,0,0,46,25,6,112,16,14,485,64,6,0,0,1,174,21,0
319,0,29,10,0,0,0,0,30,12,218,20,6,118,11,0,45,33,0
320,43,52,5,17,36,0,0,5,0,129,12,5,108,0,0,247,0,0
321,29,50,6,0,36,5,132,17,2,49,77,0,110,0,0,178,13,4
322,0,0,17,0,23,5,0,0,0,276,0,7,56,15,0,211,27,0
323,0,11,13,0,95,10,0,0,4,102,23,0,93,27,0,149,0,0
324,0,0,15,0,0,24,0,0,3,0,46,0,256,16,13,99,43,0
325,81,14,13,61,0,10,0,28,8,214,38,0,17,20,0,254,46,0
326,0,24,0,0,4,11,0,0,3,285,10,0,194,36,0,21,0,0
327,107,18,0,0,0,13,0,17,0,465,32,0,121,21,0,109,10,0
328,107,15,3,259,14,10,0,20,1,26,8,0,179,13,0,184,0,2
329,0,0,7,0,26,4,0,0,1,106,0,6,247,46,1,240,50,0
330,0,39,6,0,23,11,0,0,16,34,18,0,355,23,0,0,0,0
331,0,20,12,34,9,11,0,0,0,299,0,0,191,17,0,0,0,0
332,0,42,10,0,41,9,0,19,3,0,18,0,0,0,0,81,0,5
333,117,31,22,0,10,0,0,0,7,155,8,6,0,37,0,273,0,0
334,0,44,25,0,8,13,0,9,7,114,30,0,286,17,0,85,10,0
335,0,45,32,0,34,7,73,0,12,80,10,0,118,15,0,120,0,0
336,0,9,16,0,7,7,0,35,20,221,21,0,0,0,0,0,0,4
337,156,14,5,19,76,6,0,0,11,126,38,0,46,0,1,59,0,3
338,0,10,20,35,0,7,0,19,10,215,15,0,62,0,0,296,18,1
339,0,21,17,0,0,8,0,29,5,26,64,0,179,0,0,0,24,0
340,0,15,9,0,7,27,0,46,2,0,31,0,0,10,1,24,0,5
341,0,0,10,0,23,5,84,50,7,120,23,6,124,22,0,174,0,0
342,0,0,5,152,32,20,0,21,10,229,0,0,421,43,0,205,0,0
343,0,0,5,0,15,15,0,19,0,82,33,0,120,0,0,115,0,0
344,0,16,3,0,16,0,0,0,6,367,0,0,0,0,13,126,0,0
345,0,15,10,0,12,6,22,0,0,0,71,0,202,9,0,196,0,0
346,121,19,9,59,15,9,0,10,7,212,45,0,217,0,0,147,0,0
347,0,43,18,69,0,10,100,28,7,361,29,6,223,0,0,29,0,10
348,56,0,16,106,41,12,0,7,18,79,24,0,272,42,0,68,0,0
349,50,14,0,0,11,11,0,7,17,132,49,0,135,12,0,115,16,0
350,0,33,2,115,0,0,0,0,10,143,35,0,89,21,0,117,19,0
351,0,51,20,56,53,6,0,16,1,120,40,0,273,19,0,82,17,0
352,0,0,15,0,15,5,55,0,11,147,0,0,0,0,0,89,0,0
353,0,12,3,144,0,16,0,23,2,0,36,0,49,4,1,366,0,0
354,0,9,4,0,20,18,87,0,15,23,41,0,16,14,0,256,0,0
355,0,28,3,0,22,7,0,27,5,239,0,7,149,0,0,0,30,0
356,91,10,7,0,28,1,21,45,13,126,51,0,0,0,0,450,16,7
