TaskID,Region,Hour,GPU_Demand
64,RegionF,1729,99
64,RegionF,1730,99
64,RegionF,1731,99
64,RegionF,1732,99
64,RegionF,1733,99
64,RegionF,1734,99
65,RegionA,260,107
65,RegionA,261,107
65,RegionA,262,107
65,RegionA,263,107
66,RegionA,1563,4
66,RegionA,1564,4
66,RegionA,1565,4
66,RegionA,1566,4
66,RegionA,1567,4
66,RegionA,1568,4
66,RegionA,1569,4
67,RegionD,1917,42
67,RegionD,1918,42
67,RegionD,1919,42
68,RegionD,1029,92
68,RegionD,1030,92
68,RegionD,1031,92
68,RegionD,1032,92
68,RegionD,1033,92
69,RegionE,47,118
69,RegionE,48,118
69,RegionE,49,118
70,RegionF,469,77
70,RegionF,470,77
70,RegionF,471,77
70,RegionF,472,77
71,RegionF,2199,66
71,RegionF,2200,66
71,RegionF,2201,66
71,RegionF,2202,66
72,RegionA,1393,18
72,RegionA,1394,18
72,RegionA,1395,18
72,RegionA,1396,18
72,RegionA,1397,18
72,RegionA,1398,18
72,RegionA,1399,18
73,RegionA,1202,1
73,RegionA,1203,1
73,RegionA,1204,1
74,RegionC,647,20
74,RegionC,648,20
75,RegionD,13,15
75,RegionD,14,15
75,RegionD,15,15
75,RegionD,16,15
75,RegionD,17,15
75,RegionD,18,15
75,RegionD,19,15
76,RegionE,1078,18
76,RegionE,1079,18
76,RegionE,1080,18
77,RegionF,731,71
77,RegionF,732,71
77,RegionF,733,71
77,RegionF,734,71
78,RegionA,435,17
78,RegionA,436,17
78,RegionA,437,17
78,RegionA,438,17
79,RegionD,1222,69
79,RegionD,1223,69
79,RegionD,1224,69
79,RegionD,1225,69
80,RegionD,2079,112
80,RegionD,2080,112
80,RegionD,2081,112
81,RegionD,814,17
81,RegionD,815,17
81,RegionD,816,17
81,RegionD,817,17
82,RegionB,1531,2
82,RegionB,1532,2
82,RegionB,1533,2
82,RegionB,1534,2
83,RegionC,2209,7
83,RegionC,2210,7
83,RegionC,2211,7
83,RegionC,2212,7
84,RegionF,2,71
84,RegionF,3,71
84,RegionF,4,71
84,RegionF,5,71
84,RegionF,6,71
85,RegionB,1327,53
85,RegionB,1328,53
85,RegionB,1329,53
85,RegionB,1330,53
85,RegionB,1331,53
85,RegionB,1332,53
86,RegionB,79,23
86,RegionB,80,23
86,RegionB,81,23
86,RegionB,82,23
87,RegionB,1486,6
87,RegionB,1487,6
87,RegionB,1488,6
87,RegionB,1489,6
87,RegionB,1490,6
88,RegionC,980,19
88,RegionC,981,19
88,RegionC,982,19
88,RegionC,983,19
89,RegionC,986,4
89,RegionC,987,4
89,RegionC,988,4
89,RegionC,989,4
89,RegionC,990,4
89,RegionC,991,4
90,RegionF,322,95
90,RegionF,323,95
90,RegionF,324,95
91,RegionF,1990,4
91,RegionF,1991,4
91,RegionF,1992,4
91,RegionF,1993,4
91,RegionF,1994,4
91,RegionF,1995,4
92,RegionA,2181,3
92,RegionA,2182,3
92,RegionA,2183,3
93,RegionA,525,7
93,RegionA,526,7
93,RegionA,527,7
94,RegionD,1946,54
94,RegionD,1947,54
94,RegionD,1948,54
94,RegionD,1949,54
94,RegionD,1950,54
94,RegionD,1951,54
94,RegionD,1952,54
95,RegionE,676,16
95,RegionE,677,16
95,RegionE,678,16
96,RegionE,2161,13
96,RegionE,2162,13
96,RegionE,2163,13
96,RegionE,2164,13
96,RegionE,2165,13
97,RegionF,1733,31
97,RegionF,1734,31
97,RegionF,1735,31
98,RegionA,2208,1
98,RegionA,2209,1
98,RegionA,2210,1
98,RegionA,2211,1
98,RegionA,2212,1
98,RegionA,2213,1
98,RegionA,2214,1
99,RegionD,823,17
99,RegionD,824,17
99,RegionD,825,17
99,RegionD,826,17
99,RegionD,827,17
100,RegionD,1276,27
101,RegionC,1529,12
101,RegionC,1530,12
102,RegionD,2119,22
102,RegionD,2120,22
102,RegionD,2121,22
102,RegionD,2122,22
103,RegionE,495,6
103,RegionE,496,6
103,RegionE,497,6
104,RegionF,920,6
104,RegionF,921,6
104,RegionF,922,6
105,RegionA,1384,3
105,RegionA,1385,3
106,RegionA,2268,4
106,RegionA,2269,4
107,RegionB,902,1
107,RegionB,903,1
107,RegionB,904,1
107,RegionB,905,1
107,RegionB,906,1
107,RegionB,907,1
107,RegionB,908,1
108,RegionB,290,6
108,RegionB,291,6
108,RegionB,292,6
108,RegionB,293,6
109,RegionE,241,69
109,RegionE,242,69
109,RegionE,243,69
109,RegionE,244,69
110,RegionC,276,5
110,RegionC,277,5
110,RegionC,278,5
111,RegionA,1353,4
111,RegionA,1354,4
111,RegionA,1355,4
111,RegionA,1356,4
111,RegionA,1357,4
112,RegionA,2105,4
112,RegionA,2106,4
112,RegionA,2107,4
113,RegionB,1140,3
113,RegionB,1141,3
113,RegionB,1142,3
114,RegionE,1988,48
114,RegionE,1989,48
114,RegionE,1990,48
114,RegionE,1991,48
114,RegionE,1992,48
114,RegionE,1993,48
114,RegionE,1994,48
115,RegionC,2208,6
115,RegionC,2209,6
115,RegionC,2210,6
115,RegionC,2211,6
115,RegionC,2212,6
116,RegionC,2338,6
116,RegionC,2339,6
116,RegionC,2340,6
116,RegionC,2341,6
117,RegionF,1936,124
117,RegionF,1937,124
117,RegionF,1938,124
117,RegionF,1939,124
117,RegionF,1940,124
118,RegionA,1937,3
118,RegionA,1938,3
118,RegionA,1939,3
118,RegionA,1940,3
119,RegionB,779,4
119,RegionB,780,4
119,RegionB,781,4
119,RegionB,782,4
119,RegionB,783,4
119,RegionB,784,4
119,RegionB,785,4
120,RegionB,397,1
120,RegionB,398,1
120,RegionB,399,1
120,RegionB,400,1
120,RegionB,401,1
120,RegionB,402,1
121,RegionE,1765,63
122,RegionD,1734,6
123,RegionE,1912,20
123,RegionE,1913,20
123,RegionE,1914,20
123,RegionE,1915,20
124,RegionA,221,45
125,RegionD,403,21
125,RegionD,404,21
125,RegionD,405,21
125,RegionD,406,21
125,RegionD,407,21
125,RegionD,408,21
125,RegionD,409,21
126,RegionA,1649,1
126,RegionA,1650,1
126,RegionA,1651,1
126,RegionA,1652,1
126,RegionA,1653,1
127,RegionD,1389,108
127,RegionD,1390,108
127,RegionD,1391,108
127,RegionD,1392,108
128,RegionB,1018,7
128,RegionB,1019,7
128,RegionB,1020,7
129,RegionC,779,7
129,RegionC,780,7
129,RegionC,781,7
130,RegionF,1837,82
131,RegionA,1728,1
131,RegionA,1729,1
132,RegionA,1140,3
132,RegionA,1141,3
132,RegionA,1142,3
132,RegionA,1143,3
132,RegionA,1144,3
133,RegionB,1023,21
133,RegionB,1024,21
133,RegionB,1025,21
133,RegionB,1026,21
133,RegionB,1027,21
133,RegionB,1028,21
134,RegionB,1815,7
134,RegionB,1816,7
134,RegionB,1817,7
135,RegionE,401,42
135,RegionE,402,42
135,RegionE,403,42
135,RegionE,404,42
135,RegionE,405,42
135,RegionE,406,42
135,RegionE,407,42
136,RegionC,2214,2
136,RegionC,2215,2
137,RegionA,382,1
137,RegionA,383,1
137,RegionA,384,1
137,RegionA,385,1
137,RegionA,386,1
137,RegionA,387,1
138,RegionA,681,6
139,RegionB,1989,13
140,RegionC,875,6
141,RegionD,240,10
142,RegionC,1552,5
142,RegionC,1553,5
142,RegionC,1554,5
142,RegionC,1555,5
142,RegionC,1556,5
142,RegionC,1557,5
143,RegionD,1599,6
143,RegionD,1600,6
143,RegionD,1601,6
144,RegionA,1863,15
144,RegionA,1864,15
144,RegionA,1865,15
145,RegionB,1732,5
145,RegionB,1733,5
145,RegionB,1734,5
145,RegionB,1735,5
145,RegionB,1736,5
146,RegionD,2276,102
146,RegionD,2277,102
146,RegionD,2278,102
146,RegionD,2279,102
146,RegionD,2280,102
146,RegionD,2281,102
147,RegionE,1993,66
147,RegionE,1994,66
147,RegionE,1995,66
147,RegionE,1996,66
148,RegionC,777,7
148,RegionC,778,7
148,RegionC,779,7
149,RegionE,891,20
149,RegionE,892,20
149,RegionE,893,20
150,RegionF,2372,6
150,RegionF,2373,6
151,RegionC,2220,122
151,RegionC,2221,122
152,RegionA,1284,1
152,RegionA,1285,1
153,RegionB,205,4
153,RegionB,206,4
154,RegionE,1952,83
154,RegionE,1953,83
154,RegionE,1954,83
154,RegionE,1955,83
154,RegionE,1956,83
154,RegionE,1957,83
154,RegionE,1958,83
155,RegionF,2175,111
155,RegionF,2176,111
155,RegionF,2177,111
155,RegionF,2178,111
155,RegionF,2179,111
155,RegionF,2180,111
155,RegionF,2181,111
156,RegionD,232,7
156,RegionD,233,7
156,RegionD,234,7
156,RegionD,235,7
156,RegionD,236,7
156,RegionD,237,7
157,RegionB,328,31
157,RegionB,329,31
157,RegionB,330,31
157,RegionB,331,31
157,RegionB,332,31
157,RegionB,333,31
157,RegionB,334,31
158,RegionA,280,4
158,RegionA,281,4
158,RegionA,282,4
159,RegionD,278,32
159,RegionD,279,32
159,RegionD,280,32
159,RegionD,281,32
159,RegionD,282,32
159,RegionD,283,32
160,RegionE,963,34
160,RegionE,964,34
161,RegionD,491,8
161,RegionD,492,8
161,RegionD,493,8
162,RegionF,1008,77
162,RegionF,1009,77
162,RegionF,1010,77
163,RegionF,162,24
163,RegionF,163,24
163,RegionF,164,24
164,RegionC,335,73
165,RegionB,2390,18
165,RegionB,2391,18
166,RegionD,2141,63
166,RegionD,2142,63
166,RegionD,2143,63
166,RegionD,2144,63
166,RegionD,2145,63
167,RegionD,1068,4
167,RegionD,1069,4
167,RegionD,1070,4
167,RegionD,1071,4
168,RegionC,1286,7
168,RegionC,1287,7
169,RegionC,1087,6
169,RegionC,1088,6
170,RegionA,536,19
170,RegionA,537,19
171,RegionD,1228,72
171,RegionD,1229,72
171,RegionD,1230,72
171,RegionD,1231,72
172,RegionB,1295,8
172,RegionB,1296,8
173,RegionB,38,6
173,RegionB,39,6
173,RegionB,40,6
173,RegionB,41,6
174,RegionD,2306,19
174,RegionD,2307,19
174,RegionD,2308,19
174,RegionD,2309,19
174,RegionD,2310,19
174,RegionD,2311,19
175,RegionC,300,7
175,RegionC,301,7
175,RegionC,302,7
175,RegionC,303,7
175,RegionC,304,7
176,RegionF,873,109
177,RegionC,1086,25
177,RegionC,1087,25
177,RegionC,1088,25
177,RegionC,1089,25
177,RegionC,1090,25
177,RegionC,1091,25
178,RegionA,1429,4
178,RegionA,1430,4
178,RegionA,1431,4
178,RegionA,1432,4
179,RegionB,1000,7
179,RegionB,1001,7
179,RegionB,1002,7
179,RegionB,1003,7
179,RegionB,1004,7
180,RegionD,1167,22
180,RegionD,1168,22
181,RegionC,1794,1
182,RegionF,1239,31
182,RegionF,1240,31
182,RegionF,1241,31
182,RegionF,1242,31
182,RegionF,1243,31
182,RegionF,1244,31
183,RegionA,2166,17
183,RegionA,2167,17
183,RegionA,2168,17
183,RegionA,2169,17
183,RegionA,2170,17
183,RegionA,2171,17
183,RegionA,2172,17
184,RegionA,2271,3
184,RegionA,2272,3
184,RegionA,2273,3
185,RegionB,424,15
185,RegionB,425,15
185,RegionB,426,15
186,RegionB,1083,4
186,RegionB,1084,4
186,RegionB,1085,4
186,RegionB,1086,4
187,RegionB,438,3
187,RegionB,439,3
187,RegionB,440,3
187,RegionB,441,3
187,RegionB,442,3
187,RegionB,443,3
188,RegionF,2266,80
188,RegionF,2267,80
188,RegionF,2268,80
189,RegionE,1115,2
190,RegionA,862,16
190,RegionA,863,16
191,RegionD,1404,61
191,RegionD,1405,61
191,RegionD,1406,61
191,RegionD,1407,61
191,RegionD,1408,61
192,RegionB,1081,3
192,RegionB,1082,3
192,RegionB,1083,3
192,RegionB,1084,3
193,RegionE,2001,96
193,RegionE,2002,96
193,RegionE,2003,96
193,RegionE,2004,96
193,RegionE,2005,96
194,RegionD,208,13
194,RegionD,209,13
194,RegionD,210,13
195,RegionC,1734,1
195,RegionC,1735,1
195,RegionC,1736,1
195,RegionC,1737,1
196,RegionA,180,21
196,RegionA,181,21
196,RegionA,182,21
196,RegionA,183,21
196,RegionA,184,21
196,RegionA,185,21
196,RegionA,186,21
197,RegionA,1366,4
197,RegionA,1367,4
197,RegionA,1368,4
197,RegionA,1369,4
197,RegionA,1370,4
198,RegionA,1072,5
198,RegionA,1073,5
198,RegionA,1074,5
198,RegionA,1075,5
198,RegionA,1076,5
198,RegionA,1077,5
198,RegionA,1078,5
199,RegionB,1809,1
199,RegionB,1810,1
199,RegionB,1811,1
199,RegionB,1812,1
200,RegionE,1751,114
201,RegionF,39,97
201,RegionF,40,97
202,RegionD,308,7
202,RegionD,309,7
202,RegionD,310,7
202,RegionD,311,7
203,RegionB,610,52
203,RegionB,611,52
203,RegionB,612,52
203,RegionB,613,52
203,RegionB,614,52
203,RegionB,615,52
203,RegionB,616,52
204,RegionD,147,70
204,RegionD,148,70
204,RegionD,149,70
204,RegionD,150,70
204,RegionD,151,70
205,RegionB,2385,6
205,RegionB,2386,6
205,RegionB,2387,6
205,RegionB,2388,6
205,RegionB,2389,6
206,RegionE,606,32
206,RegionE,607,32
207,RegionD,522,23
207,RegionD,523,23
207,RegionD,524,23
207,RegionD,525,23
208,RegionC,1262,6
208,RegionC,1263,6
208,RegionC,1264,6
208,RegionC,1265,6
209,RegionF,163,22
209,RegionF,164,22
210,RegionA,860,15
210,RegionA,861,15
210,RegionA,862,15
210,RegionA,863,15
210,RegionA,864,15
211,RegionD,1022,34
211,RegionD,1023,34
211,RegionD,1024,34
211,RegionD,1025,34
211,RegionD,1026,34
212,RegionD,421,86
212,RegionD,422,86
212,RegionD,423,86
212,RegionD,424,86
213,RegionD,2293,23
213,RegionD,2294,23
213,RegionD,2295,23
213,RegionD,2296,23
213,RegionD,2297,23
213,RegionD,2298,23
213,RegionD,2299,23
214,RegionD,633,19
214,RegionD,634,19
215,RegionD,665,3
216,RegionA,1688,4
216,RegionA,1689,4
217,RegionA,734,7
217,RegionA,735,7
218,RegionD,1360,54
218,RegionD,1361,54
218,RegionD,1362,54
218,RegionD,1363,54
219,RegionC,1016,13
219,RegionC,1017,13
219,RegionC,1018,13
219,RegionC,1019,13
220,RegionD,652,8
220,RegionD,653,8
220,RegionD,654,8
220,RegionD,655,8
221,RegionF,442,108
221,RegionF,443,108
221,RegionF,444,108
221,RegionF,445,108
221,RegionF,446,108
221,RegionF,447,108
222,RegionF,158,21
222,RegionF,159,21
223,RegionA,911,12
223,RegionA,912,12
223,RegionA,913,12
223,RegionA,914,12
223,RegionA,915,12
224,RegionA,1885,6
224,RegionA,1886,6
224,RegionA,1887,6
224,RegionA,1888,6
225,RegionC,1250,16
225,RegionC,1251,16
225,RegionC,1252,16
226,RegionB,913,1
226,RegionB,914,1
226,RegionB,915,1
226,RegionB,916,1
226,RegionB,917,1
227,RegionC,791,2
228,RegionF,1344,8
228,RegionF,1345,8
228,RegionF,1346,8
228,RegionF,1347,8
228,RegionF,1348,8
228,RegionF,1349,8
229,RegionA,284,11
229,RegionA,285,11
229,RegionA,286,11
229,RegionA,287,11
229,RegionA,288,11
229,RegionA,289,11
230,RegionA,1438,23
230,RegionA,1439,23
230,RegionA,1440,23
230,RegionA,1441,23
230,RegionA,1442,23
230,RegionA,1443,23
231,RegionD,2086,104
231,RegionD,2087,104
231,RegionD,2088,104
232,RegionC,2196,7
232,RegionC,2197,7
232,RegionC,2198,7
232,RegionC,2199,7
232,RegionC,2200,7
233,RegionD,113,22
233,RegionD,114,22
233,RegionD,115,22
233,RegionD,116,22
233,RegionD,117,22
233,RegionD,118,22
233,RegionD,119,22
234,RegionC,1069,6
234,RegionC,1070,6
235,RegionE,2378,2
236,RegionA,156,10
236,RegionA,157,10
236,RegionA,158,10
236,RegionA,159,10
237,RegionA,1779,5
237,RegionA,1780,5
237,RegionA,1781,5
238,RegionC,1284,11
238,RegionC,1285,11
238,RegionC,1286,11
238,RegionC,1287,11
238,RegionC,1288,11
238,RegionC,1289,11
238,RegionC,1290,11
239,RegionD,2094,12
240,RegionC,1577,3
240,RegionC,1578,3
240,RegionC,1579,3
240,RegionC,1580,3
240,RegionC,1581,3
240,RegionC,1582,3
241,RegionF,778,77
241,RegionF,779,77
241,RegionF,780,77
241,RegionF,781,77
242,RegionA,181,20
242,RegionA,182,20
242,RegionA,183,20
242,RegionA,184,20
242,RegionA,185,20
242,RegionA,186,20
243,RegionD,1786,48
243,RegionD,1787,48
243,RegionD,1788,48
244,RegionA,2129,6
245,RegionD,807,60
245,RegionD,808,60
245,RegionD,809,60
245,RegionD,810,60
245,RegionD,811,60
245,RegionD,812,60
246,RegionD,1766,18
246,RegionD,1767,18
247,RegionC,1352,6
247,RegionC,1353,6
247,RegionC,1354,6
247,RegionC,1355,6
248,RegionF,1285,116
248,RegionF,1286,116
248,RegionF,1287,116
248,RegionF,1288,116
249,RegionB,510,34
250,RegionD,1230,120
251,RegionD,1266,30
252,RegionE,1672,69
252,RegionE,1673,69
252,RegionE,1674,69
253,RegionD,1648,14
253,RegionD,1649,14
253,RegionD,1650,14
253,RegionD,1651,14
253,RegionD,1652,14
253,RegionD,1653,14
254,RegionF,1211,111
254,RegionF,1212,111
254,RegionF,1213,111
254,RegionF,1214,111
254,RegionF,1215,111
254,RegionF,1216,111
254,RegionF,1217,111
255,RegionF,521,91
255,RegionF,522,91
255,RegionF,523,91
255,RegionF,524,91
255,RegionF,525,91
255,RegionF,526,91
255,RegionF,527,91
256,RegionA,1722,2
256,RegionA,1723,2
257,RegionD,1552,23
257,RegionD,1553,23
257,RegionD,1554,23
257,RegionD,1555,23
257,RegionD,1556,23
257,RegionD,1557,23
258,RegionD,712,65
258,RegionD,713,65
258,RegionD,714,65
258,RegionD,715,65
259,RegionE,2331,116
259,RegionE,2332,116
259,RegionE,2333,116
259,RegionE,2334,116
260,RegionE,1663,20
260,RegionE,1664,20
260,RegionE,1665,20
260,RegionE,1666,20
261,RegionF,1,92
261,RegionF,2,92
261,RegionF,3,92
261,RegionF,4,92
261,RegionF,5,92
262,RegionA,1175,16
263,RegionA,1760,5
263,RegionA,1761,5
264,RegionD,1319,84
265,RegionC,1809,21
265,RegionC,1810,21
265,RegionC,1811,21
265,RegionC,1812,21
265,RegionC,1813,21
265,RegionC,1814,21
265,RegionC,1815,21
266,RegionD,875,8
266,RegionD,876,8
266,RegionD,877,8
266,RegionD,878,8
266,RegionD,879,8
267,RegionF,1938,80
267,RegionF,1939,80
267,RegionF,1940,80
267,RegionF,1941,80
268,RegionF,695,126
268,RegionF,696,126
268,RegionF,697,126
268,RegionF,698,126
268,RegionF,699,126
269,RegionC,347,100
269,RegionC,348,100
269,RegionC,349,100
269,RegionC,350,100
270,RegionB,2111,20
270,RegionB,2112,20
271,RegionD,1372,120
271,RegionD,1373,120
271,RegionD,1374,120
271,RegionD,1375,120
271,RegionD,1376,120
271,RegionD,1377,120
271,RegionD,1378,120
272,RegionB,962,5
273,RegionE,1271,107
273,RegionE,1272,107
273,RegionE,1273,107
273,RegionE,1274,107
274,RegionC,815,7
274,RegionC,816,7
274,RegionC,817,7
274,RegionC,818,7
274,RegionC,819,7
274,RegionC,820,7
274,RegionC,821,7
275,RegionA,100,3
276,RegionA,1002,5
276,RegionA,1003,5
276,RegionA,1004,5
277,RegionB,298,13
277,RegionB,299,13
278,RegionC,1697,20
278,RegionC,1698,20
279,RegionE,2357,88
280,RegionC,1572,3
280,RegionC,1573,3
280,RegionC,1574,3
280,RegionC,1575,3
281,RegionF,1636,7
281,RegionF,1637,7
281,RegionF,1638,7
281,RegionF,1639,7
281,RegionF,1640,7
281,RegionF,1641,7
281,RegionF,1642,7
282,RegionA,604,2
283,RegionD,22,41
283,RegionD,23,41
283,RegionD,24,41
284,RegionB,1741,6
284,RegionB,1742,6
284,RegionB,1743,6
284,RegionB,1744,6
284,RegionB,1745,6
284,RegionB,1746,6
284,RegionB,1747,6
285,RegionB,720,2
285,RegionB,721,2
286,RegionE,2121,123
286,RegionE,2122,123
286,RegionE,2123,123
286,RegionE,2124,123
287,RegionE,205,20
287,RegionE,206,20
287,RegionE,207,20
287,RegionE,208,20
287,RegionE,209,20
288,RegionA,1020,62
288,RegionA,1021,62
288,RegionA,1022,62
288,RegionA,1023,62
289,RegionA,1869,5
289,RegionA,1870,5
290,RegionA,1903,3
290,RegionA,1904,3
291,RegionD,2175,53
291,RegionD,2176,53
291,RegionD,2177,53
291,RegionD,2178,53
292,RegionE,1299,53
292,RegionE,1300,53
293,RegionE,2067,21
293,RegionE,2068,21
293,RegionE,2069,21
293,RegionE,2070,21
293,RegionE,2071,21
293,RegionE,2072,21
294,RegionF,2244,22
294,RegionF,2245,22
294,RegionF,2246,22
294,RegionF,2247,22
294,RegionF,2248,22
294,RegionF,2249,22
295,RegionA,651,9
295,RegionA,652,9
295,RegionA,653,9
295,RegionA,654,9
295,RegionA,655,9
295,RegionA,656,9
296,RegionD,1944,45
296,RegionD,1945,45
297,RegionC,1061,22
297,RegionC,1062,22
297,RegionC,1063,22
298,RegionB,1135,5
298,RegionB,1136,5
298,RegionB,1137,5
299,RegionE,1984,71
299,RegionE,1985,71
299,RegionE,1986,71
299,RegionE,1987,71
299,RegionE,1988,71
299,RegionE,1989,71
300,RegionF,979,32
300,RegionF,980,32
300,RegionF,981,32
300,RegionF,982,32
300,RegionF,983,32
300,RegionF,984,32
301,RegionA,1801,8
301,RegionA,1802,8
301,RegionA,1803,8
301,RegionA,1804,8
301,RegionA,1805,8
302,RegionA,1170,5
302,RegionA,1171,5
302,RegionA,1172,5
302,RegionA,1173,5
303,RegionA,1112,6
303,RegionA,1113,6
303,RegionA,1114,6
303,RegionA,1115,6
303,RegionA,1116,6
304,RegionC,1309,14
304,RegionC,1310,14
305,RegionE,330,38
305,RegionE,331,38
305,RegionE,332,38
305,RegionE,333,38
305,RegionE,334,38
305,RegionE,335,38
305,RegionE,336,38
306,RegionC,617,4
306,RegionC,618,4
306,RegionC,619,4
306,RegionC,620,4
307,RegionD,1568,1
307,RegionD,1569,1
307,RegionD,1570,1
307,RegionD,1571,1
307,RegionD,1572,1
307,RegionD,1573,1
307,RegionD,1574,1
308,RegionB,625,82
308,RegionB,626,82
309,RegionD,876,47
309,RegionD,877,47
310,RegionB,1699,2
310,RegionB,1700,2
310,RegionB,1701,2
310,RegionB,1702,2
310,RegionB,1703,2
