Region,Hour,GPU_Demand
RegionA,371,264
RegionA,372,230
RegionA,373,288
RegionA,374,259
RegionA,375,242
RegionA,376,163
RegionA,377,225
RegionA,378,123
RegionA,379,125
RegionA,380,111
RegionA,381,193
RegionA,382,123
RegionA,383,104
RegionA,384,112
RegionA,385,103
RegionA,386,101
RegionA,387,153
RegionA,388,196
RegionA,389,117
RegionA,390,158
RegionA,391,182
RegionA,392,169
RegionA,393,117
RegionA,394,112
RegionA,395,131
RegionA,396,104
RegionA,397,97
RegionA,398,109
RegionA,399,125
RegionA,400,145
RegionA,401,100
RegionA,402,152
RegionA,403,138
RegionA,404,122
RegionA,405,139
RegionA,406,175
RegionA,407,244
RegionA,408,254
RegionA,409,152
RegionA,410,238
RegionA,411,264
RegionA,412,266
RegionA,413,274
RegionA,414,185
RegionA,415,185
RegionA,416,150
RegionA,417,150
RegionA,418,182
RegionA,419,203
RegionA,420,176
RegionA,421,207
RegionA,422,241
RegionA,423,261
RegionA,424,248
RegionA,425,222
RegionA,426,119
RegionA,427,167
RegionA,428,171
RegionA,429,188
RegionA,430,143
RegionA,431,135
RegionA,432,128
RegionA,433,152
RegionA,434,267
RegionA,435,534
RegionA,436,516
RegionA,437,569
RegionA,438,717
RegionA,439,500
RegionA,440,452
RegionA,441,338
RegionA,442,267
RegionA,443,376
RegionA,444,354
RegionA,445,233
RegionA,446,256
RegionA,447,310
RegionA,448,341
RegionA,449,371
RegionA,450,405
RegionA,451,423
RegionA,452,221
RegionA,453,320
RegionA,454,353
RegionA,455,334
RegionA,456,298
RegionA,457,236
RegionA,458,194
RegionA,459,173
RegionA,460,168
RegionA,461,196
RegionA,462,118
RegionA,463,152
RegionA,464,143
RegionA,465,116
RegionA,466,113
RegionA,467,273
RegionA,468,256
RegionA,469,141
RegionA,470,161
RegionA,471,133
RegionA,472,139
RegionA,473,135
RegionA,474,97
RegionA,475,179
RegionA,476,183
RegionA,477,71
RegionA,478,63
RegionA,479,83
RegionA,480,110
RegionA,481,111
RegionA,482,113
RegionA,483,58
RegionA,484,245
RegionA,485,284
RegionA,486,136
RegionA,487,135
RegionA,488,152
RegionA,489,107
RegionA,490,60
RegionA,491,49
RegionA,492,48
RegionA,493,50
RegionA,494,78
RegionA,495,187
RegionA,496,212
RegionA,497,271
RegionA,498,248
RegionA,499,315
RegionA,500,231
RegionA,501,324
RegionA,502,315
RegionA,503,262
RegionA,504,282
RegionA,505,304
RegionA,506,319
RegionA,507,113
RegionA,508,218
RegionA,509,253
RegionA,510,316
RegionA,511,269
RegionA,512,216
RegionA,513,217
RegionA,514,207
RegionA,515,154
RegionA,516,169
RegionA,517,211
RegionA,518,270
RegionA,519,320
RegionA,520,224
RegionA,521,259
RegionA,522,454
RegionA,523,425
RegionA,524,212
RegionA,525,123
RegionA,526,193
RegionA,527,319
RegionA,528,284
RegionA,529,280
RegionA,530,163
RegionA,531,177
RegionA,532,182
RegionA,533,146
RegionA,534,225
RegionA,535,399
RegionA,536,434
RegionA,537,321
RegionA,538,250
RegionA,539,221
RegionA,540,196
RegionA,541,74
RegionA,542,87
RegionA,543,84
RegionA,544,75
RegionA,545,105
RegionA,546,102
RegionA,547,126
RegionA,548,160
RegionA,549,118
RegionA,550,92
RegionA,551,183
RegionA,552,158
RegionA,553,258
RegionA,554,261
RegionA,555,218
RegionA,556,183
RegionA,557,202
RegionA,558,226
RegionA,559,347
RegionA,560,171
RegionA,561,136
RegionA,562,218
RegionA,563,273
RegionA,564,134
RegionA,565,166
RegionA,566,298
RegionA,567,292
RegionA,568,378
RegionA,569,249
RegionA,570,358
RegionA,571,251
RegionA,572,305
RegionA,573,322
RegionA,574,415
RegionA,575,421
RegionA,576,430
RegionA,577,417
RegionA,578,328
RegionA,579,286
RegionA,580,170
RegionA,581,183
RegionA,582,291
RegionA,583,278
RegionA,584,195
RegionA,585,181
RegionA,586,139
RegionA,587,132
RegionA,588,132
RegionA,589,97
RegionA,590,112
RegionA,591,87
RegionA,592,84
RegionA,593,106
RegionA,594,108
RegionA,595,193
RegionA,596,267
RegionA,597,240
RegionA,598,212
RegionA,599,186
RegionA,600,364
RegionA,601,259
RegionA,602,212
RegionA,603,212
RegionA,604,175
RegionA,605,246
RegionA,606,170
RegionA,607,167
RegionA,608,179
RegionA,609,263
RegionA,610,241
RegionA,611,266
RegionA,612,188
RegionA,613,213
RegionA,614,100
RegionA,615,74
RegionA,616,60
RegionA,617,78
RegionA,618,69
RegionA,619,175
RegionA,620,175
RegionA,621,316
RegionA,622,297
RegionA,623,236
RegionA,624,287
RegionA,625,104
RegionA,626,63
RegionA,627,229
RegionA,628,296
RegionA,629,266
RegionA,630,171
RegionA,631,124
RegionA,632,140
RegionA,633,219
RegionA,634,239
RegionA,635,452
RegionA,636,396
RegionA,637,258
RegionA,638,229
RegionA,639,185
RegionA,640,99
RegionA,641,86
RegionA,642,201
RegionA,643,219
RegionA,644,246
RegionA,645,249
RegionA,646,178
RegionA,647,157
RegionA,648,185
RegionA,649,166
RegionA,650,78
RegionA,651,88
RegionA,652,329
RegionA,653,358
RegionA,654,222
RegionA,655,307
RegionA,656,289
RegionA,657,260
RegionA,658,254
RegionA,659,316
RegionA,660,244
RegionA,661,179
RegionA,662,161
RegionA,663,195
RegionA,664,226
RegionA,665,143
RegionA,666,139
RegionA,667,113
RegionA,668,152
RegionA,669,182
RegionA,670,89
RegionA,671,191
RegionA,672,151
RegionA,673,157
RegionA,674,131
RegionA,675,287
RegionA,676,247
RegionA,677,164
RegionA,678,176
RegionA,679,171
RegionA,680,294
RegionA,681,267
RegionA,682,224
RegionA,683,200
RegionA,684,340
RegionA,685,309
RegionA,686,333
RegionA,687,210
RegionA,688,142
RegionA,689,145
RegionA,690,171
RegionA,691,140
RegionA,692,152
RegionA,693,232
RegionA,694,177
RegionA,695,88
RegionA,696,77
RegionA,697,103
RegionA,698,225
RegionA,699,224
RegionA,700,233
RegionA,701,232
RegionA,702,288
RegionA,703,381
RegionA,704,244
RegionA,705,195
RegionA,706,306
RegionA,707,246
RegionA,708,363
RegionA,709,369
RegionA,710,292
RegionA,711,407
RegionA,712,361
RegionA,713,408
RegionA,714,219
RegionA,715,91
RegionA,716,131
RegionA,717,116
RegionA,718,309
RegionA,719,498
RegionA,720,422
RegionA,721,483
RegionA,722,344
RegionA,723,311
RegionA,724,284
RegionA,725,281
RegionA,726,258
RegionA,727,242
RegionA,728,240
RegionA,729,247
RegionA,730,167
RegionA,731,243
RegionA,732,328
RegionA,733,261
RegionA,734,179
RegionA,735,140
RegionA,736,157
RegionA,737,215
RegionA,738,373
RegionA,739,485
RegionA,740,516
RegionA,741,617
RegionA,742,575
RegionA,743,284
RegionA,744,172
RegionA,745,178
RegionA,746,103
RegionA,747,85
RegionA,748,68
RegionA,749,72
RegionA,750,106
RegionA,751,95
RegionA,752,221
RegionA,753,301
RegionA,754,268
RegionA,755,237
RegionA,756,304
RegionA,757,223
RegionA,758,186
RegionA,759,219
RegionA,760,262
RegionA,761,244
RegionA,762,245
RegionA,763,408
RegionA,764,389
RegionA,765,518
RegionA,766,310
RegionA,767,184
RegionA,768,178
RegionA,769,192
RegionA,770,70
RegionA,771,243
RegionA,772,222
RegionA,773,317
RegionA,774,271
RegionA,775,256
RegionA,776,93
RegionA,777,100
RegionA,778,197
RegionA,779,89
RegionA,780,155
RegionA,781,153
RegionA,782,229
RegionA,783,99
RegionA,784,137
RegionA,785,78
RegionA,786,89
RegionA,787,189
RegionA,788,229
RegionA,789,334
RegionA,790,315
RegionA,791,385
RegionA,792,265
RegionA,793,234
RegionA,794,131
RegionA,795,167
RegionA,796,205
RegionA,797,151
RegionA,798,217
RegionA,799,112
RegionA,800,125
RegionA,801,158
RegionA,802,155
RegionA,803,214
RegionA,804,168
RegionA,805,284
RegionA,806,302
RegionA,807,293
RegionA,808,298
RegionA,809,155
RegionA,810,97
RegionA,811,99
RegionA,812,92
RegionA,813,109
RegionA,814,82
RegionA,815,96
RegionA,816,180
RegionA,817,192
RegionA,818,141
RegionA,819,175
RegionA,820,193
RegionA,821,195
RegionA,822,157
RegionA,823,125
RegionA,824,266
RegionA,825,267
RegionA,826,95
RegionA,827,216
RegionA,828,268
RegionA,829,265
RegionA,830,291
RegionA,831,316
RegionA,832,309
RegionA,833,162
RegionA,834,136
RegionA,835,194
RegionA,836,206
RegionA,837,213
RegionA,838,220
RegionA,839,207
RegionA,840,234
RegionA,841,344
RegionA,842,521
RegionA,843,481
RegionA,844,511
RegionA,845,512
RegionA,846,397
RegionA,847,450
RegionA,848,344
RegionA,849,202
RegionA,850,216
RegionA,851,210
RegionA,852,244
RegionA,853,290
RegionA,854,322
RegionA,855,121
RegionA,856,97
RegionA,857,156
RegionA,858,181
RegionA,859,197
RegionA,860,229
RegionA,861,119
RegionA,862,126
RegionA,863,111
RegionA,864,150
RegionA,865,139
RegionA,866,98
RegionA,867,275
RegionA,868,237
RegionA,869,148
RegionA,870,145
RegionA,871,139
RegionA,872,125
RegionA,873,158
RegionA,874,184
RegionA,875,188
RegionA,876,137
RegionA,877,261
RegionA,878,215
RegionA,879,211
RegionA,880,207
RegionA,881,221
RegionA,882,172
RegionA,883,178
RegionA,884,195
RegionA,885,218
RegionA,886,231
RegionA,887,251
RegionA,888,143
RegionA,889,131
RegionA,890,219
RegionA,891,197
RegionA,892,242
RegionA,893,236
RegionA,894,204
RegionA,895,71
RegionA,896,175
RegionA,897,184
RegionA,898,155
RegionA,899,127
RegionA,900,41
RegionA,901,64
RegionA,902,197
RegionA,903,118
RegionA,904,132
RegionA,905,154
RegionA,906,272
RegionA,907,234
RegionA,908,365
RegionA,909,104
RegionA,910,141
RegionA,911,149
RegionA,912,154
RegionA,913,119
RegionA,914,138
RegionA,915,146
RegionA,916,274
RegionA,917,193
RegionA,918,191
RegionA,919,322
RegionA,920,510
RegionA,921,286
RegionA,922,266
RegionA,923,303
RegionA,924,249
RegionA,925,216
RegionA,926,219
RegionA,927,106
RegionA,928,248
RegionA,929,276
RegionA,930,291
RegionA,931,267
RegionA,932,171
RegionA,933,196
RegionA,934,172
RegionA,935,112
RegionA,936,145
RegionA,937,100
RegionA,938,100
RegionA,939,96
RegionA,940,82
RegionA,941,111
RegionA,942,284
RegionA,943,286
RegionA,944,273
RegionA,945,240
RegionA,946,243
RegionA,947,245
RegionA,948,131
RegionA,949,113
RegionA,950,131
RegionA,951,140
RegionA,952,85
RegionA,953,146
RegionA,954,140
RegionA,955,196
RegionA,956,235
RegionA,957,264
RegionA,958,266
RegionA,959,163
RegionA,960,212
RegionA,961,122
RegionA,962,85
RegionA,963,118
RegionA,964,102
RegionA,965,129
RegionA,966,207
RegionA,967,340
RegionA,968,323
RegionA,969,257
RegionA,970,285
RegionA,971,260
RegionA,972,269
RegionA,973,331
RegionA,974,130
RegionA,975,162
RegionA,976,157
RegionA,977,175
RegionA,978,163
RegionA,979,166
RegionA,980,152
RegionA,981,147
RegionA,982,268
RegionA,983,255
RegionA,984,196
RegionA,985,239
RegionA,986,326
RegionA,987,353
RegionA,988,234
RegionA,989,128
RegionA,990,81
RegionA,991,182
RegionA,992,227
RegionA,993,171
RegionA,994,146
RegionA,995,122
RegionA,996,159
RegionA,997,219
RegionA,998,167
RegionA,999,199
RegionA,1000,320
RegionA,1001,294
RegionA,1002,405
RegionA,1003,472
RegionA,1004,384
RegionA,1005,347
RegionA,1006,310
RegionA,1007,349
RegionA,1008,363
RegionA,1009,303
RegionA,1010,422
RegionA,1011,331
RegionA,1012,321
RegionA,1013,352
RegionA,1014,315
RegionA,1015,185
RegionA,1016,255
RegionA,1017,233
RegionA,1018,204
RegionA,1019,207
RegionA,1020,366
RegionA,1021,360
RegionA,1022,464
RegionA,1023,370
RegionA,1024,205
RegionA,1025,210
RegionA,1026,181
RegionA,1027,192
RegionA,1028,177
RegionA,1029,194
RegionA,1030,184
RegionA,1031,115
RegionA,1032,186
RegionA,1033,264
RegionA,1034,374
RegionA,1035,359
RegionA,1036,251
RegionA,1037,237
RegionA,1038,199
RegionA,1039,158
RegionA,1040,241
RegionA,1041,132
RegionA,1042,166
RegionA,1043,228
RegionA,1044,281
RegionA,1045,258
RegionA,1046,290
RegionA,1047,291
RegionA,1048,356
RegionA,1049,305
RegionA,1050,235
RegionA,1051,136
RegionA,1052,103
RegionA,1053,67
RegionA,1054,115
RegionA,1055,124
RegionA,1056,100
RegionA,1057,219
RegionA,1058,180
RegionA,1059,168
RegionA,1060,115
RegionA,1061,115
RegionA,1062,116
RegionA,1063,119
RegionA,1064,102
RegionA,1065,142
RegionA,1066,133
RegionA,1067,133
RegionA,1068,173
RegionA,1069,245
RegionA,1070,209
RegionA,1071,99
RegionA,1072,120
RegionA,1073,112
RegionA,1074,94
RegionA,1075,175
RegionA,1076,160
RegionA,1077,101
RegionA,1078,100
RegionA,1079,43
RegionA,1080,45
RegionA,1081,50
RegionA,1082,36
RegionA,1083,54
RegionA,1084,80
RegionA,1085,82
RegionA,1086,111
RegionA,1087,112
RegionA,1088,179
RegionA,1089,217
RegionA,1090,175
RegionA,1091,153
RegionA,1092,240
RegionA,1093,251
RegionA,1094,215
RegionA,1095,390
RegionA,1096,295
RegionA,1097,249
RegionA,1098,349
RegionA,1099,334
RegionA,1100,443
RegionA,1101,342
RegionA,1102,368
RegionA,1103,456
RegionA,1104,549
RegionA,1105,423
RegionA,1106,455
RegionA,1107,588
RegionA,1108,562
RegionA,1109,538
RegionA,1110,420
RegionA,1111,558
RegionA,1112,559
RegionA,1113,494
RegionA,1114,382
RegionA,1115,460
RegionA,1116,379
RegionA,1117,149
RegionA,1118,255
RegionA,1119,377
RegionA,1120,221
RegionA,1121,232
RegionA,1122,161
RegionA,1123,151
RegionA,1124,197
RegionA,1125,198
RegionA,1126,113
RegionA,1127,130
RegionA,1128,150
RegionA,1129,155
RegionA,1130,145
RegionA,1131,126
RegionA,1132,107
RegionA,1133,98
RegionA,1134,97
RegionA,1135,82
RegionA,1136,74
RegionA,1137,99
RegionA,1138,123
RegionA,1139,277
RegionA,1140,197
RegionA,1141,166
RegionA,1142,212
RegionA,1143,148
RegionA,1144,143
RegionA,1145,136
RegionA,1146,94
RegionA,1147,93
RegionA,1148,117
RegionA,1149,82
RegionA,1150,77
RegionA,1151,166
RegionA,1152,196
RegionA,1153,152
RegionA,1154,227
RegionA,1155,187
RegionA,1156,200
RegionA,1157,161
RegionA,1158,110
RegionA,1159,166
RegionA,1160,165
RegionA,1161,174
RegionA,1162,260
RegionA,1163,178
RegionA,1164,152
RegionA,1165,163
RegionA,1166,89
RegionA,1167,120
RegionA,1168,157
RegionA,1169,160
RegionA,1170,182
RegionA,1171,186
RegionA,1172,145
RegionA,1173,278
RegionA,1174,195
RegionA,1175,265
RegionA,1176,249
RegionA,1177,235
RegionA,1178,241
RegionA,1179,231
RegionA,1180,280
RegionA,1181,300
RegionA,1182,230
RegionA,1183,228
RegionA,1184,180
RegionA,1185,171
RegionA,1186,285
RegionA,1187,353
RegionA,1188,336
RegionA,1189,320
RegionA,1190,179
RegionA,1191,263
RegionA,1192,191
RegionA,1193,160
RegionA,1194,201
RegionA,1195,275
RegionA,1196,249
RegionA,1197,137
RegionA,1198,140
RegionA,1199,118
RegionA,1200,116
RegionA,1201,190
RegionA,1202,165
RegionA,1203,76
RegionA,1204,213
RegionA,1205,214
RegionA,1206,175
RegionA,1207,264
RegionA,1208,267
RegionA,1209,278
RegionA,1210,264
RegionA,1211,329
RegionA,1212,171
RegionA,1213,195
RegionA,1214,144
RegionA,1215,244
RegionA,1216,266
RegionA,1217,335
RegionA,1218,308
RegionA,1219,300
RegionA,1220,155
RegionA,1221,336
RegionA,1222,313
RegionA,1223,211
RegionA,1224,300
RegionA,1225,279
RegionA,1226,163
RegionA,1227,214
RegionA,1228,236
RegionA,1229,261
RegionA,1230,286
RegionA,1231,313
RegionA,1232,293
RegionA,1233,226
RegionA,1234,108
RegionA,1235,103
RegionA,1236,154
RegionA,1237,142
RegionA,1238,176
RegionA,1239,285
RegionA,1240,272
RegionA,1241,276
RegionA,1242,231
RegionA,1243,106
RegionA,1244,77
RegionA,1245,67
RegionA,1246,63
RegionA,1247,70
RegionA,1248,64
RegionA,1249,66
RegionA,1250,55
RegionA,1251,183
RegionA,1252,204
RegionA,1253,358
RegionA,1254,269
RegionA,1255,302
RegionA,1256,350
RegionA,1257,453
RegionA,1258,333
RegionA,1259,215
RegionA,1260,195
RegionA,1261,190
RegionA,1262,281
RegionA,1263,228
RegionA,1264,323
RegionA,1265,391
RegionA,1266,380
RegionA,1267,406
RegionA,1268,117
RegionA,1269,101
RegionA,1270,43
RegionA,1271,157
RegionA,1272,149
RegionA,1273,156
RegionA,1274,158
RegionA,1275,160
RegionA,1276,121
RegionA,1277,204
RegionA,1278,189
RegionA,1279,284
RegionA,1280,302
RegionA,1281,287
RegionA,1282,368
RegionA,1283,297
RegionA,1284,281
RegionA,1285,238
RegionA,1286,71
RegionA,1287,80
RegionA,1288,70
RegionA,1289,132
RegionA,1290,235
RegionA,1291,242
RegionA,1292,169
RegionA,1293,141
RegionA,1294,117
RegionA,1295,117
RegionA,1296,139
RegionA,1297,149
RegionA,1298,247
RegionA,1299,174
RegionA,1300,155
RegionA,1301,63
RegionA,1302,180
RegionA,1303,314
RegionA,1304,340
RegionA,1305,294
RegionA,1306,350
RegionA,1307,123
RegionA,1308,126
RegionA,1309,149
RegionA,1310,229
RegionA,1311,280
RegionA,1312,282
RegionA,1313,240
RegionA,1314,195
RegionA,1315,128
RegionA,1316,76
RegionA,1317,130
RegionA,1318,212
RegionA,1319,181
RegionA,1320,193
RegionA,1321,184
RegionA,1322,202
RegionA,1323,185
RegionA,1324,192
RegionA,1325,177
RegionA,1326,226
RegionA,1327,236
RegionA,1328,239
RegionA,1329,362
RegionA,1330,479
RegionA,1331,254
RegionA,1332,302
RegionA,1333,282
RegionA,1334,269
RegionA,1335,119
RegionA,1336,81
RegionA,1337,122
RegionA,1338,58
RegionA,1339,67
RegionA,1340,194
RegionA,1341,221
RegionA,1342,260
RegionA,1343,263
RegionA,1344,121
RegionA,1345,90
RegionA,1346,98
RegionA,1347,74
RegionA,1348,70
RegionA,1349,82
RegionA,1350,70
RegionA,1351,92
RegionA,1352,166
RegionA,1353,200
RegionA,1354,213
RegionA,1355,168
RegionA,1356,180
RegionA,1357,177
RegionA,1358,126
RegionA,1359,104
RegionA,1360,96
RegionA,1361,104
RegionA,1362,97
RegionA,1363,113
RegionA,1364,185
RegionA,1365,181
RegionA,1366,202
RegionA,1367,203
RegionA,1368,220
RegionA,1369,237
RegionA,1370,166
RegionA,1371,54
RegionA,1372,141
RegionA,1373,117
RegionA,1374,130
RegionA,1375,155
RegionA,1376,166
RegionA,1377,290
RegionA,1378,293
RegionA,1379,341
RegionA,1380,227
RegionA,1381,227
RegionA,1382,227
RegionA,1383,300
RegionA,1384,312
RegionA,1385,297
RegionA,1386,205
RegionA,1387,236
RegionA,1388,158
RegionA,1389,286
RegionA,1390,308
RegionA,1391,330
RegionA,1392,196
RegionA,1393,211
RegionA,1394,200
RegionA,1395,185
RegionA,1396,146
RegionA,1397,240
RegionA,1398,269
RegionA,1399,256
RegionA,1400,239
RegionA,1401,205
RegionA,1402,202
RegionA,1403,283
RegionA,1404,295
RegionA,1405,259
RegionA,1406,251
RegionA,1407,154
RegionA,1408,118
RegionA,1409,121
RegionA,1410,127
RegionA,1411,132
RegionA,1412,168
RegionA,1413,188
RegionA,1414,262
RegionA,1415,177
RegionA,1416,338
RegionA,1417,291
RegionA,1418,321
RegionA,1419,320
RegionA,1420,386
RegionA,1421,387
RegionA,1422,297
RegionA,1423,301
RegionA,1424,277
RegionA,1425,292
RegionA,1426,263
RegionA,1427,235
RegionA,1428,105
RegionA,1429,121
RegionA,1430,152
RegionA,1431,172
RegionA,1432,156
RegionA,1433,111
RegionA,1434,135
RegionA,1435,153
RegionA,1436,146
RegionA,1437,177
RegionA,1438,211
RegionA,1439,230
RegionA,1440,216
RegionA,1441,252
RegionA,1442,324
RegionA,1443,301
RegionA,1444,153
RegionA,1445,267
RegionA,1446,319
RegionA,1447,317
RegionA,1448,251
RegionA,1449,235
RegionA,1450,202
RegionA,1451,179
RegionA,1452,318
RegionA,1453,331
RegionA,1454,299
RegionA,1455,256
RegionA,1456,211
RegionA,1457,211
RegionA,1458,226
RegionA,1459,232
RegionA,1460,301
RegionA,1461,272
RegionA,1462,427
RegionA,1463,494
RegionA,1464,384
RegionA,1465,206
RegionA,1466,226
RegionA,1467,292
RegionA,1468,421
RegionA,1469,394
RegionA,1470,234
RegionA,1471,262
RegionA,1472,261
RegionA,1473,186
RegionA,1474,259
RegionA,1475,209
RegionA,1476,218
RegionA,1477,264
RegionA,1478,255
RegionA,1479,359
RegionA,1480,185
RegionA,1481,293
RegionA,1482,305
RegionA,1483,278
RegionA,1484,292
RegionA,1485,200
RegionA,1486,182
RegionA,1487,243
RegionA,1488,172
RegionA,1489,112
RegionA,1490,191
RegionA,1491,202
RegionA,1492,195
RegionA,1493,214
RegionA,1494,182
RegionA,1495,173
RegionA,1496,234
